Name,STN,pVal
AT5G62790.1,-0.9435,0.0351
AT3G60860.1,0.9389,0.0354
AT1G16470.1,-0.9389,0.0355
AT5G62720.1,0.9296,0.036
AT3G59870.1,-0.9295,0.0364
sum127,-0.9289,0.0365
AT5G59890.1,0.9295,0.0365
AT4G16143.1,-0.9234,0.037
AT2G45740.1,0.9149,0.0376
AT1G78570.1,0.9108,0.0379
AT3G13460.1,0.9105,0.0379
AT5G08300.1,-0.9102,0.0386
ATCG00350.1,0.9072,0.0389
AT5G62530.1,-0.9065,0.0389
AT4G32520.1,-0.9055,0.0393
AT4G37980.1,-0.9045,0.0394
AT1G71220.1,0.9043,0.0395
AT3G25800.1,-0.9022,0.0397
AT5G23120.1,-0.9014,0.0397
AT2G24060.1,-0.9011,0.0401
AT2G34040.1,-0.9011,0.0401
AT1G52360.1,0.8955,0.0405
AT3G19710.1,-0.8936,0.0407
AT4G04040.1,-0.891,0.041
AT1G59610.1,0.891,0.041
AT3G42050.1,-0.8875,0.0413
AT2G35490.1,-0.8866,0.0415
AT3G09260.1,-0.8847,0.0416
AT2G42600.1,0.8784,0.0424
AT1G02920.1,-0.8714,0.0427
AT5G20280.1,0.8688,0.0429
AT1G16460.1,0.8615,0.0438
AT3G11700.1,0.8615,0.0438
AT1G62740.1,0.8615,0.0438
AT5G40480.1,0.8615,0.0438
AT3G25760.1,-0.8615,0.0451
AT2G40600.1,-0.8615,0.0451
AT4G13360.1,-0.8615,0.0451
AT3G20330.1,-0.8615,0.0451
AT2G05830.1,-0.8615,0.0451
AT4G12830.1,-0.8615,0.0451
AT5G48960.1,-0.8615,0.0451
AT5G17050.1,-0.8615,0.0451
AT1G08550.1,-0.8615,0.0451
AT3G59020.1,-0.8615,0.0451
AT3G48560.1,-0.8614,0.0451
AT5G23010.1,-0.8614,0.0451
AT2G36880.1,-0.8605,0.0453
AT1G32060.1,-0.8489,0.0465
AT5G19220.1,-0.8446,0.0468
AT1G35720.1,-0.844,0.0469
sum77,-0.842,0.0472
AT4G38220.1,-0.842,0.0472
AT1G48600.1,-0.8396,0.0476
AT3G27925.1,-0.8384,0.0478
AT3G09630.1,-0.8365,0.0479
AT3G55800.1,-0.8357,0.0479
sum203,0.8357,0.0479
AT5G51970.1,-0.8354,0.0481
AT1G72370.1,-0.8337,0.0483
AT3G49010.1,0.8335,0.0483
AT5G19940.1,-0.8291,0.0487
AT1G31330.1,0.8268,0.049
AT1G79280.1,0.8259,0.0491
AT2G32720.1,0.8259,0.0491
AT3G06580.1,-0.8259,0.0496
AT1G44920.1,-0.8259,0.0496
AT5G35360.1,-0.8253,0.0497
AT5G24710.1,0.8248,0.0498
AT1G60710.1,-0.8248,0.0502
AT4G04640.1,-0.822,0.0504
AT2G41220.1,-0.8211,0.0505
AT4G01690.1,-0.8196,0.0506
AT2G36460.1,-0.8192,0.0506
AT1G14345.1,0.8182,0.0507
AT3G03780.1,0.8162,0.051
AT1G70890.1,-0.8162,0.0511
AT4G23400.1,0.8156,0.0512
ATCG01100.1,0.8143,0.0513
AT1G25490.1,-0.8093,0.0519
AT5G42650.1,-0.8083,0.0519
AT2G01140.1,-0.8068,0.052
AT5G12040.1,-0.8059,0.0525
AT3G25860.1,-0.8045,0.0527
AT5G66570.1,0.7979,0.0533
AT2G40490.1,-0.797,0.0533
AT2G27530.1,0.7965,0.0534
AT3G04550.1,-0.7959,0.0534
ATCG00670.1,-0.7934,0.0536
AT3G56070.1,-0.7933,0.0537
AT3G62120.1,-0.7898,0.0539
AT3G47470.1,0.785,0.0544
AT2G21330.1,-0.7839,0.0545
AT3G26060.1,0.7792,0.0552
AT1G80380.2,-0.775,0.0556
AT3G14210.1,-0.7745,0.0556
