Name,STN,pVal
AT3G08590.1,0.8887,0.0411
sum127,0.8877,0.0411
AT3G56070.1,0.8875,0.0411
AT3G42050.1,0.8875,0.0411
AT1G08520.1,0.8872,0.0413
AT1G01320.1,-0.8849,0.0416
AT3G04840.1,-0.8797,0.0423
AT4G17560.1,0.879,0.0424
AT4G39710.1,-0.8725,0.0426
AT3G19760.1,0.8714,0.0427
AT2G36880.1,0.8711,0.0428
AT3G22200.1,0.8688,0.0429
AT5G10920.1,0.8688,0.0429
AT1G65960.2,0.8671,0.0432
AT1G12270.1,0.8615,0.0438
AT1G48850.1,0.8615,0.0438
AT2G05830.1,0.8615,0.0438
AT4G12830.1,0.8615,0.0438
AT1G52000.1,0.8615,0.0438
AT5G48960.1,0.8615,0.0438
AT1G08550.1,0.8615,0.0438
AT3G59020.1,0.8615,0.0438
sum120,-0.8615,0.0451
AT1G68680.1,-0.8615,0.0451
AT3G21200.1,-0.8615,0.0451
AT3G44590.1,-0.8615,0.0451
AT2G04400.1,-0.8615,0.0451
AT1G37130.1,-0.8615,0.0451
AT4G35460.1,-0.8615,0.0451
AT1G48920.1,-0.8615,0.0451
AT5G23250.1,-0.8615,0.0451
AT2G26250.1,-0.8615,0.0451
AT3G07770.1,0.8612,0.0452
AT1G41830.1,-0.8605,0.0453
ATCG01110.1,-0.855,0.0457
AT5G36210.1,0.851,0.0459
AT2G35780.1,0.851,0.0459
AT5G22800.1,0.8504,0.0464
AT3G43300.2,-0.8504,0.0465
AT1G32060.1,0.8489,0.0466
AT2G21390.1,-0.8425,0.0469
sum71,0.8414,0.0472
AT1G50480.1,0.8399,0.0475
sum50,0.8398,0.0475
AT4G19170.1,0.8384,0.0476
AT4G01850.1,0.8359,0.0479
AT5G48230.1,0.8354,0.048
AT3G52560.1,0.8354,0.048
AT5G39320.1,0.8312,0.0485
AT3G16520.3,0.8259,0.0491
AT5G35360.1,0.8253,0.0497
AT1G80480.1,0.8248,0.0498
AT2G26900.1,-0.8248,0.0502
AT2G41220.1,0.8211,0.0505
AT5G53480.1,0.8197,0.0505
AT4G24280.1,0.8192,0.0506
AT1G47128.1,0.8162,0.051
AT3G14210.1,0.8156,0.0512
AT1G02280.1,-0.8143,0.0513
AT3G25860.1,0.809,0.0519
sum19,-0.8063,0.052
sum126,0.8065,0.052
AT4G16143.1,0.8039,0.0527
AT1G20950.1,0.801,0.0529
AT5G30510.1,0.7935,0.0536
AT4G17300.1,0.7933,0.0536
AT1G20960.1,-0.7933,0.0537
AT1G09640.1,0.792,0.0537
AT4G12800.1,-0.7906,0.0539
AT3G09810.1,0.7899,0.0539
AT3G22630.1,0.7892,0.054
AT4G38740.1,0.7854,0.0544
AT1G29670.1,-0.7848,0.0545
AT1G78900.1,0.7844,0.0545
AT3G55800.1,0.7845,0.0545
AT5G17770.1,-0.7835,0.0548
AT4G36130.1,-0.7795,0.0552
sum11,-0.7794,0.0552
AT4G23100.1,0.7768,0.0554
AT4G13940.1,0.7716,0.0559
AT1G14610.1,0.7675,0.0563
AT1G52410.1,0.7675,0.0563
AT3G23940.1,0.7668,0.0566
sum57,-0.7667,0.0566
AT2G36460.1,0.7663,0.0567
sum35,0.7658,0.0567
AT1G08980.1,0.7623,0.0573
AT5G08570.1,0.7623,0.0573
AT3G55400.1,0.7623,0.0573
AT3G55010.1,-0.7623,0.0584
AT2G32520.1,0.758,0.059
AT1G09210.1,0.758,0.059
AT1G15340.1,0.758,0.059
AT5G58440.1,0.758,0.059
AT3G26900.1,0.758,0.059
AT4G09020.1,0.758,0.059
AT1G09830.1,0.758,0.059
AT3G46100.1,0.758,0.059
AT1G06820.1,0.758,0.059
AT1G09430.1,0.758,0.059
AT3G52500.1,0.758,0.059
AT1G48860.1,0.758,0.059
AT5G34850.1,0.758,0.059
AT5G66420.1,0.758,0.059
AT4G39660.1,0.758,0.059
AT4G37550.1,0.758,0.059
ATCG00170.1,-0.758,0.0656
AT1G16460.1,-0.758,0.0656
AT1G63610.1,-0.758,0.0656
AT3G61260.1,-0.758,0.0656
AT2G39970.1,-0.758,0.0656
AT4G23890.1,-0.758,0.0656
ATMG00510.1,-0.758,0.0656
sum112,-0.758,0.0656
AT4G37200.1,-0.758,0.0656
AT1G18170.1,-0.758,0.0656
AT3G21865.1,-0.758,0.0656
AT1G30400.1,-0.758,0.0656
AT2G20580.1,0.7568,0.0657
AT4G09650.1,0.7541,0.0659
AT1G72370.1,0.7522,0.066
AT2G34460.1,-0.7513,0.0662
AT1G17650.1,-0.7509,0.0663
AT5G09660.1,-0.7497,0.0664
AT1G20620.1,-0.7486,0.0665
AT3G54050.1,0.7472,0.0667
AT5G28840.1,0.7457,0.0668
sum85,0.7446,0.0669
sum142,-0.7446,0.0674
AT1G12410.1,0.7419,0.0678
AT5G22580.1,0.7407,0.0679
AT2G25970.1,0.7363,0.0692
AT5G06060.1,0.7363,0.0692
AT2G37500.1,0.7363,0.0692
AT4G12730.1,0.7363,0.0692
AT3G49560.1,0.7363,0.0692
AT1G08480.1,0.7363,0.0692
AT5G63860.1,0.7363,0.0692
AT5G66090.1,0.7363,0.0692
AT5G16715.1,0.7363,0.0692
AT3G52155.1,0.7363,0.0692
AT2G30695.1,0.7363,0.0692
AT4G35860.1,0.7363,0.0692
AT5G44720.1,0.7363,0.0692
AT4G27500.1,-0.7363,0.0704
AT2G18040.1,-0.7363,0.0704
AT4G16390.1,0.7341,0.0708
AT4G38800.1,-0.7341,0.0712
AT3G52930.1,0.7322,0.0715
AT1G78630.1,0.7319,0.0715
AT5G42390.1,0.7297,0.0717
AT1G62380.1,0.7284,0.0718
AT1G02500.1,0.7281,0.0718
AT4G23600.1,0.7279,0.0719
ATCG00150.1,-0.726,0.072
AT2G36390.1,0.7253,0.0721
AT3G55330.1,0.7162,0.073
AT4G16155.1,0.7162,0.0731
AT1G50250.1,0.7153,0.0733
AT2G39770.1,0.7133,0.0736
AT3G44620.1,0.7133,0.0736
AT1G74850.1,0.7133,0.0736
AT5G55480.1,-0.7133,0.0739
AT3G08580.1,-0.7123,0.0741
ATCG00340.1,-0.7119,0.0741
AT4G01690.1,0.7118,0.0741
AT5G61790.1,0.7117,0.0741
AT3G59870.1,0.7083,0.0746
AT1G74470.1,0.7075,0.0748
AT2G24270.1,0.707,0.0748
AT3G19820.1,-0.7066,0.0749
AT1G34430.1,0.7061,0.075
sum74,0.7044,0.0756
AT2G33040.1,-0.7035,0.0758
sum138,0.7027,0.076
AT2G01210.1,0.6957,0.0768
AT1G14810.1,0.6957,0.0768
AT3G03710.1,0.6957,0.0768
AT5G48300.1,0.6953,0.0769
sum29,-0.6918,0.0774
AT1G70730.1,0.6905,0.0775
sum204,0.6894,0.0776
sum41,0.6883,0.0778
AT4G26970.1,0.6866,0.078
AT3G54470.1,0.6859,0.0782
AT3G26720.1,0.6859,0.0782
AT3G12050.1,0.6859,0.0782
AT3G55260.1,0.6859,0.0782
AT5G42740.1,0.6825,0.0791
AT3G49120.1,0.6821,0.0792
AT1G63770.3,0.6816,0.0793
AT5G03690.2,0.68,0.0794
AT2G39470.1,-0.6783,0.0798
AT1G63940.1,0.6736,0.0807
AT1G30690.1,0.673,0.0808
AT4G24800.1,0.673,0.0808
AT1G18070.1,0.673,0.0808
AT3G19450.1,0.6729,0.0814
AT5G04430.1,0.6729,0.0814
AT2G21385.1,-0.6729,0.0815
AT4G30620.1,-0.6688,0.0824
ATCG00350.1,-0.668,0.0824
AT1G48030.1,0.6689,0.0824
ATCG00670.1,0.6644,0.0829
AT4G35100.1,-0.6616,0.0832
AT4G21280.1,-0.6612,0.0832
AT1G44920.1,0.6601,0.0834
AT4G27640.1,-0.6601,0.0857
AT2G05620.1,-0.6601,0.0857
AT3G44330.1,-0.6601,0.0857
AT2G46650.1,-0.6601,0.0857
AT3G08940.2,-0.6596,0.0857
sum17,-0.6596,0.0857
AT3G52140.1,-0.6591,0.0858
AT4G20980.1,0.6567,0.0862
AT1G79550.1,0.6552,0.0866
AT5G12140.1,0.6546,0.0866
AT5G62530.1,0.6546,0.0866
AT3G27280.1,0.6514,0.0872
sum109,0.6513,0.0872
AT1G02920.1,0.6505,0.0874
AT4G31990.1,0.649,0.0875
AT1G11910.1,-0.6486,0.0876
AT1G56450.1,0.6481,0.0876
AT1G56340.1,0.6466,0.0878
sum76,0.6456,0.088
AT1G18270.1,0.6456,0.088
AT4G18930.1,0.6456,0.088
AT2G14170.1,0.6456,0.088
AT2G39080.1,0.6456,0.088
AT4G11260.1,0.6456,0.088
AT3G04260.1,0.6456,0.088
AT2G44100.1,0.6456,0.088
AT3G56010.1,0.6456,0.088
AT5G55940.1,0.6456,0.088
AT3G02660.1,0.6456,0.088
AT1G74960.1,0.6456,0.088
AT3G13490.1,0.6456,0.088
AT1G79560.1,0.6456,0.088
AT1G10670.1,0.6456,0.088
AT2G31750.1,0.6456,0.088
AT2G44870.1,0.6456,0.088
AT1G59610.1,-0.6456,0.0913
AT1G72610.1,-0.6456,0.0913
AT5G37475.1,-0.6456,0.0913
AT4G12650.1,-0.6456,0.0913
AT2G17420.1,-0.6456,0.0913
AT1G54520.1,-0.6456,0.0913
AT1G42960.1,-0.6456,0.0913
AT1G20330.1,-0.6456,0.0913
AT2G45140.1,-0.6456,0.0913
AT1G21630.1,-0.6456,0.0913
AT3G06730.1,-0.6456,0.0913
AT3G18060.1,0.6452,0.0916
AT1G33590.1,0.6431,0.0923
AT5G66530.1,-0.6426,0.0925
AT4G32260.1,0.6426,0.0925
sum81,-0.6407,0.0928
AT5G02160.1,0.6407,0.0928
AT5G17050.1,0.6407,0.0928
AT4G30220.1,-0.6407,0.0938
AT5G49460.1,-0.6391,0.0946
AT1G53280.1,0.639,0.0946
AT1G20020.1,-0.6351,0.0956
sum202,-0.6351,0.0956
AT5G40810.1,0.6319,0.0965
AT3G01280.1,-0.6285,0.097
AT4G39970.1,-0.6281,0.0973
AT2G28000.1,0.6246,0.0979
AT3G53420.1,-0.6227,0.0982
AT5G24300.1,0.6205,0.0986
AT5G49910.1,0.6205,0.0988
AT2G40840.1,0.6176,0.0992
sum16,0.6169,0.0993
AT5G11670.1,0.614,0.0997
AT3G62030.1,0.6139,0.0997
AT3G11630.1,-0.6099,0.1005
sum200,0.6107,0.1005
sum206,0.6083,0.1013
AT5G16620.1,0.6056,0.1018
AT4G14890.1,0.6056,0.1018
AT5G64860.1,0.6056,0.1018
AT4G25890.1,-0.6056,0.1029
AT5G42950.1,-0.6056,0.1029
AT4G16760.1,0.6026,0.1033
AT4G00490.1,0.6026,0.1033
AT5G20280.1,-0.6026,0.1038
AT1G65980.1,0.6024,0.1039
AT1G69620.1,0.6021,0.1041
AT5G47110.1,-0.6003,0.1043
AT5G14740.2,-0.5999,0.1044
AT2G44640.1,0.5984,0.1047
ATCG00660.1,-0.5984,0.1048
AT1G80300.1,-0.5975,0.105
AT3G63460.1,0.5967,0.1052
AT3G02520.1,-0.5963,0.1052
AT3G48560.1,0.5959,0.1053
AT5G65020.1,-0.5959,0.1053
AT5G45390.1,0.5948,0.1058
AT3G60750.1,0.5947,0.1059
sum207,0.5937,0.1061
AT2G32240.1,-0.5927,0.1061
AT2G34160.1,-0.5903,0.1064
