protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G049693	x	GRMZM2G049693	943.6666667	51.03056432	4.957712724	1.620961004	25.76989694	1.39355604	0.13538652	0.044265628	0.000116385	0	0	0	0.000201742	0	0	0
GRMZM2G049839	x	GRMZM2G049839	959.75	558.5752255	282.2852043	239.9759088	38.76667122	22.56223196	11.4021961	9.693219229	9.17261E-05	6.02543E-05	0	0	0.000136346	9.04268E-05	0	0
GRMZM2G049866	x	GRMZM2G049866	726	195.9345175	64.9721299	163.5697014	26.64621208	7.191339816	2.384657235	6.003461367	0.000542746	4.97713E-05	8.0791E-05	0	0.000637571	6.25156E-05	0.000103829	0
GRMZM2G049892	x	GRMZM2G049892	38.25	26.27693237	34.64310487	71.36649223	3.722472022	2.557258708	3.371450683	6.945353481	9.80159E-05	0.000146472	0	0	3.31126E-05	5.23574E-05	0	0
GRMZM2G049893	x	GRMZM2G049893	47.80555556	22.62101135	19.50903445	25.76345597	4.316168756	2.042358911	1.761391202	2.326077428	0	0.000103102	5.26537E-05	0	0	2.10996E-05	1.10983E-05	0
GRMZM2G050131	x	GRMZM2G050131	125.8333333	27485.48085	1932.290279	507.0660742	5.326990045	1163.561983	81.80098871	21.4659809	0	0.000626469	0.000495714	0.000539506	0	0.000985748	0.000794089	0.000772449
GRMZM2G050270	x	GRMZM2G050270	1079.5	332.4603183	26.35415711	18.12529123	43.6549979	13.44470078	1.06576255	0.732987078	5.24149E-05	0	0	0	7.7912E-05	0	0	0
GRMZM2G050325	x	GRMZM2G050325	165	95.96792693	69.92984263	60.12291726	8.366606677	4.866217565	3.54591205	3.048635158	7.86455E-05	0	0	0	7.16538E-05	0	0	0
GRMZM2G050329	x	GRMZM2G050329	170.5	1032.79769	1823.481531	1915.091747	4.622984918	28.00356682	49.44239071	51.92633585	0	0	3.43362E-05	0	0	0	8.30634E-05	0
GRMZM2G050371	x	GRMZM2G050371	241.8718254	210.3219994	94.60719943	101.0430603	9.628290712	8.372373879	3.766067495	4.022262443	0	0.000129791	3.51024E-05	0	0	0.000160089	4.43931E-05	0
GRMZM2G050412	x	GRMZM2G050412	3363	120.5311463	0	3.536642192	159.2443963	5.707377231	0	0.167466682	0.000734843	0.000165699	0	0	0.000824018	0.000180854	0	0
GRMZM2G050460	x	GRMZM2G050460	691.5	241.4431177	62.62373967	142.3498482	51.41915283	17.95343539	4.656629994	10.58497267	0.000695969	0.000455428	9.02634E-05	0	0.000338822	0.00022227	4.43931E-05	0
GRMZM2G050467	x	GRMZM2G050467	834	281.0489289	147.339743	250.0700749	39.22116943	13.2171075	6.929061181	11.76024074	0	0.000153839	2.75957E-05	2.53154E-05	0	0.000125031	2.17674E-05	1.84768E-05
GRMZM2G050514	x	GRMZM2G050514	110.5833333	63.97861795	2313.773226	3724.452628	5.018437333	2.903445531	105.0024953	169.02124	0	0	0	2.16258E-05	0	0	0	2.16469E-05
GRMZM2G050570	x	GRMZM2G050570	271.2333333	927.1568051	1239.349901	1345.63341	9.47421869	32.38571832	43.29066732	47.0031653	0	0	2.25659E-05	0	0	0	4.43931E-05	0
GRMZM2G050730	x	GRMZM2G050730	28297	865.996293	1073.736203	4093.221257	1932.622885	59.1456428	73.33382191	279.5580123	0.000864846	0.001128151	0.000105307	0	0.000175302	0.000250063	2.21966E-05	0
GRMZM2G050833	x	GRMZM2G050833	2013.314286	621.5392165	269.6548409	366.2319298	153.6999654	47.44940058	20.5859264	27.95879179	0.002972749	0.000824687	0.000400524	0.000194099	0.001028358	0.000285122	0.000143636	6.17706E-05
GRMZM2G050845	x	GRMZM2G050845	444	1789.116352	1254.040387	1048.61441	13.40930512	54.03334923	37.87344635	31.66934814	1.69578E-05	0	0	0	3.8956E-05	0	0	0
GRMZM2G050890	x	GRMZM2G050890	1095	522.1112215	151.8625687	149.4231326	48.85377211	23.29415765	6.775396642	6.666560427	0.001022391	0.000650258	5.26537E-05	0	0.000429923	0.000275743	2.21966E-05	0
GRMZM2G050925	x	GRMZM2G050925	1815.866667	596.0674572	117.9935628	318.5925174	89.18071417	29.27402242	5.794891438	15.64669298	0.001792088	0.001500596	0.001502407	0.00055305	0.001608081	0.001378713	0.001425927	0.000474419
GRMZM2G050961	x	GRMZM2G050961	961.6333333	1926.376601	619.4891919	525.8565911	48.05200512	96.25941103	30.95535147	26.27660952	0.000570068	0	7.38264E-05	0.000237884	0.000312	0	4.29624E-05	0.000119058
