protID	matched	geneID	cov1	cov4	cov9	cov14	rpkm1	rpkm4	rpkm9	rpkm14	groupID	nsaf1	nsaf4	nsaf9	nsaf14	nadjspc1	nadjspc4	nadjspc9	nadjspc14
GRMZM2G066191	x	GRMZM2G066191	5156.691667	993.7921316	247.5708608	182.402321	184.4371928	35.54453957	8.85476145	6.523906067	325	0.000180526	7.30734E-05	0	0	0.000278128	0.00011878	0	0
GRMZM2G066222	x	GRMZM2G066222	4835.833333	1684.57986	292.5920281	545.0849778	369.9982685	128.8902219	22.38674006	41.70542781	118	0.00560578	0.005196097	0.001432567	0.001021055	0.00117014	0.001120937	0.000314272	0.000203245
GRMZM2G066290	x	GRMZM2G066290	994.2857143	207.9305083	44.95489883	58.35459616	29.76687293	6.225012521	1.345857375	1.747016802	496	2.02359E-05	0	0	0	4.71304E-05	0	0	0
GRMZM2G067303	x	GRMZM2G067303	2998.583333	1468.994767	237.2048095	373.4694155	101.8919034	49.91646265	8.06022273	12.69049594	644	0.000911774	0.00073263	0.000937902	0.000522575	0.000438958	0.00036639	0.00048283	0.000244682
GRMZM2G067456	x	GRMZM2G067456	4407.333333	1717.902057	263.5415711	601.5238928	230.4545233	89.82717433	13.78029356	31.45301058	149	0.000339916	0.000252494	6.76976E-06	0.000112951	0.000328872	0.000241138	6.65897E-06	0.000107021
GRMZM2G067462	x	GRMZM2G067462	63.45714286	32.17700134	15.83610242	16.57801027	3.97446421	2.015318283	0.991850869	1.038318234	74	8.51992E-05	0	0	0	5.37403E-05	0	0	0
GRMZM2G067707	x	GRMZM2G067707	3498	1073.165151	642.1542638	925.126653	339.9422113	104.2922054	62.40575771	89.90554608	283	0.000288282	0.000775603	0.000608905	0.000482417	5.8434E-05	0.000171918	0.000136409	9.40597E-05
GRMZM2G067985	x	GRMZM2G067985	8291.15	3730.676994	1941.823003	1653.571793	248.2200086	111.6888098	58.13419398	49.50454456	109	0.00071843	0.000594735	0.000345171	0.000178152	0.001139625	0.000980612	0.000576555	0.000280268
GRMZM2G068471	x	GRMZM2G068471	1001.5	292.2832695	72.3652103	150.7493734	28.43415271	8.298379548	2.054561598	4.280010688	662	7.57327E-05	0	0	0	0.000143308	0	0	0
GRMZM2G068479	x	GRMZM2G068479	405.3333333	345.4083719	211.5290762	252.4278364	10.63769127	9.065002355	5.551433404	6.624792906	594	6.88901E-05	0	0	0	0.000185393	0	0	0
GRMZM2G068506	x	GRMZM2G068506	295.3833333	379.4949391	589.8895344	495.6898752	9.938822927	12.76894319	19.84813281	16.67857777	131	6.95853E-06	0	0	0	1.36346E-05	0	0	0
GRMZM2G069095	x	GRMZM2G069095	223.052381	13607.06741	28532.70965	17461.25509	4.935713731	301.0978369	631.3731607	386.3834858	17	0	1.58646E-05	0.000231209	0.000216397	0	2.8132E-05	0.000402629	0.000327022
GRMZM2G069208	x	GRMZM2G069208	1485.5	306.7546236	91.84815151	187.4420362	63.87053957	13.18921799	3.949101983	8.059255461	714	4.51055E-05	0.000142956	0	0	5.37403E-05	0.000165782	0	0
GRMZM2G069542	x	GRMZM2G069542	1957.166667	661.3980044	346.7093765	317.6199408	39.29637678	13.27967905	6.961298964	6.37723556	288	2.31613E-05	1.67764E-05	1.04193E-05	0	9.26963E-05	7.1893E-05	4.56849E-05	0
GRMZM2G069594	x	GRMZM2G069594	1546.75	429.1898955	50.62085623	104.1835845	50.99494338	14.15000124	1.668923677	3.434838206	675	0.004036057	0.002309194	0.002083198	0	0.001128265	0.000663676	0.000625048	0
GRMZM2G069651	x	GRMZM2G069651	5603.083333	2023.323793	1519.582438	3301.676526	143.2196213	51.71789356	38.84183198	84.39368714	52	1.44141E-05	1.37493E-05	1.37345E-05	0.000347107	3.8956E-05	4.06352E-05	4.15317E-05	0.000903798
GRMZM2G069678	x	GRMZM2G069678	754.6666667	329.60413	176.3902001	241.96527	27.29017186	11.9191078	6.378602749	8.749921117	618	3.19497E-05	0	0	0	3.58269E-05	0	0	0
GRMZM2G070199	x	GRMZM2G070199	1677.866667	1495.347865	1467.482966	1597.324446	78.36993335	69.84483023	68.54331427	74.60796071	125	5.76564E-05	0	0	0	2.72692E-05	0	0	0
GRMZM2G070239	x	GRMZM2G070239	855.1722222	432.9464631	297.2173628	501.1372865	34.82917656	17.63290295	12.10497224	20.41015667	670	8.00783E-05	0	0	0	4.8695E-05	0	0	0
GRMZM2G070323	x	GRMZM2G070323	729.9	436.3113249	388.4063498	397.5775264	13.82676278	8.26520508	7.357723608	7.531456562	77	6.00588E-06	0	0	0	1.9478E-05	0	0	0
GRMZM2G070360	x	GRMZM2G070360	1641.5	1202.798017	1108.90987	931.1536811	87.97465365	64.46283216	59.43098493	49.90430861	71	1.16181E-05	0	0	0	1.79134E-05	0	0	0
GRMZM2G070389	x	GRMZM2G070389	1326	235.9211537	189.958677	274.5318501	60.09647883	10.69233078	8.609236509	12.44223041	247	5.11195E-05	0	0	0	3.58269E-05	0	0	0
GRMZM2G070487	x	GRMZM2G070487	795	394.7252232	206.9192731	209.9881301	20.71389177	10.28464849	5.391325068	5.47128478	552	0	6.97681E-05	1.66275E-05	0	0	9.04268E-05	2.21966E-05	0
GRMZM2G070542	x	GRMZM2G070542	1477.516667	396.34373	163.8219634	343.8942451	35.82096213	9.60897028	3.97170501	8.337383263	689	0.000225719	0.000134212	5.02039E-05	0	0.000446781	0.0002763	0.000106691	0
GRMZM2G070831	x	GRMZM2G070831	119.9809524	18.61690737	3.162250347	6.963816887	5.736674924	0.890134172	0.151197352	0.332962465	96	1.1211E-05	0	0	0	1.36346E-05	0	0	0
GRMZM2G071010	x	GRMZM2G071010	1363.5	1322.605596	1604.298442	1249.024134	58.47864948	56.72474446	68.80616521	53.56893623	490	0.000771237	0.000536344	0.000130486	0	0.000528174	0.000386261	9.35853E-05	0
GRMZM2G071071	x	GRMZM2G071071	990.4694444	326.329034	199.1043523	273.1466652	25.98425608	8.561008353	5.22336	7.16580702	625	0.000254021	5.08777E-05	0	0	0.000595134	0.0001228	0	0
GRMZM2G071630	x	GRMZM2G071630	6323.319048	1524.056637	399.2263404	254.96243	256.1674534	61.74189609	16.1732777	10.32892314	156	0.000652605	0.000650083	8.10409E-05	0	0.001033083	0.001040348	0.00013096	0
GRMZM2G071790	x	GRMZM2G071790	10007.10238	1741.032648	109.0019618	53.1317335	356.8053291	62.07688333	3.886487753	1.894423074	92	0.000314804	3.38445E-06	5.18646E-05	0	0.000531749	6.25156E-06	9.32992E-05	0
GRMZM2G071871	x	GRMZM2G071871	789.7666667	141.6669397	93.10062631	111.2568689	23.73707913	4.257915028	2.798215	3.34391563	411	4.75521E-05	0	0	0	0.000113739	0	0	0
GRMZM2G071877	x	GRMZM2G071877	341.5	327.3191793	288.3301347	259.5011208	14.41255612	13.81407333	12.16859223	10.95190181	1	3.47599E-06	0	0	0	5.53049E-06	0	0	0
GRMZM2G071959	x	GRMZM2G071959	5453.354762	426.0367542	244.0720907	227.1078642	418.6445286	32.70609816	18.73698848	17.43467441	3	0.000382582	0.000320157	0.000184923	7.99393E-05	0.000291168	0.000253191	0.000149224	5.6771E-05
GRMZM2G071970	x	GRMZM2G071970	1607	1644.68843	606.2325911	294.2044223	52.30369218	53.53035306	19.73130232	9.575592746	503	0	2.22661E-05	0	0	0	3.12578E-05	0	0
GRMZM2G072034	x	GRMZM2G072034	223	1048.221107	605.3628168	987.9020519	13.46378925	63.28712136	36.54922593	59.645314	269	0	0.000140593	0.000187922	0	0	0.000105498	0.000150368	0
GRMZM2G072280	x	GRMZM2G072280	2445	21982.40572	48005.74105	37503.09904	114.9829248	1033.783764	2257.603481	1763.687532	651	9.82887E-05	0.000985795	0.006556302	0.002516383	4.71304E-05	0.000492316	0.003368638	0.001191708
GRMZM2G072315	x	GRMZM2G072315	3962.5	1108.772299	224.6626661	446.0589964	158.4713726	44.34288153	8.984883549	17.83913727	353	0.000681288	0.000587191	0.000327924	0	0.000563969	0.000500578	0.000288208	0
GRMZM2G072501	x	GRMZM2G072501	124.5	69.11975689	50.09899173	112.2883896	5.260820865	2.920696058	2.116962418	4.744812071	611	0	0	0	6.36878E-05	0	0	0	9.07084E-05
GRMZM2G072653	x	GRMZM2G072653	129.7	72.10923398	26.18890002	9.062645616	3.796921255	2.110972114	0.76667071	0.265305719	112	0	9.37289E-06	0	0	0	2.10996E-05	0	0
GRMZM2G072729	x	GRMZM2G072729	1234.166667	667.2055872	161.7779941	269.6689671	70.4290823	38.07482285	9.232039698	15.38895709	149	0.000339916	0.000252494	6.76976E-06	0.000112951	0.000328872	0.000241138	6.65897E-06	0.000107021
GRMZM2G072850	x	GRMZM2G072850	473.5190476	72.1201147	9.194755428	3.094561918	7.552077928	1.150231927	0.146645652	0.049354662	359	1.05849E-05	0	0	0	4.71304E-05	0	0	0
GRMZM2G072855	x	GRMZM2G072855	6359.486111	161.2617516	85.26789579	129.5884643	412.2122195	10.45274153	5.526935347	8.399727207	2	0.001867657	0.001591009	0.000483243	0.000550343	0.00076525	0.000696048	0.000212952	0.000216079
GRMZM2G073275	x	GRMZM2G073275	7855.880159	286.5844938	164.9721362	177.9973068	605.7896506	22.09935957	12.72147878	13.72588738	2	0.001867657	0.001591009	0.000483243	0.000550343	0.00076525	0.000696048	0.000212952	0.000216079
GRMZM2G073551	x	GRMZM2G073551	208.4166667	111.1057249	27.3978861	43.54490699	6.330595271	3.374803886	0.832202774	1.322663809	500	1.54437E-05	0	0	0	2.9217E-05	0	0	0
GRMZM2G073725	x	GRMZM2G073725	12838.43333	1441.534557	433.0108539	478.2803329	495.2823077	55.61165788	16.70473409	18.45114438	15	0.000629653	0.000197426	0.000125052	0.000328749	0.001024894	0.000350088	0.000210867	0.00052351
GRMZM2G073774	x	GRMZM2G073774	967	372.4469545	34.61701165	21.07249306	26.18850523	10.08668978	0.937505471	0.57068986	270	0.000107106	2.44071E-05	1.0565E-05	0	0.000190086	4.68867E-05	2.07658E-05	0
GRMZM2G074037	x	GRMZM2G074037	552	255.3432341	312.8577661	262.1536025	23.14007851	10.7040987	13.11513273	10.98959229	443	1.72969E-05	8.57398E-05	1.09876E-05	0	2.9217E-05	0.000154616	2.07658E-05	0
GRMZM2G074085	x	GRMZM2G074085	3616	1030.322327	129.9442598	340.8438912	291.6040362	83.08798368	10.47905715	27.48657478	394	0.000297667	9.71473E-05	1.52605E-05	0	0.000186159	6.08423E-05	1.03829E-05	0
GRMZM2G074122	x	GRMZM2G074122	1580.166667	574.7602925	260.4712683	155.6417284	32.27391219	11.73911815	5.319962139	3.178884595	288	2.31613E-05	1.67764E-05	1.04193E-05	0	9.26963E-05	7.1893E-05	4.56849E-05	0
GRMZM2G074300	x	GRMZM2G074300	7570.5	2304.372722	411.2292238	980.0919674	250.0724982	76.11917882	13.583927	32.37488234	177	0.002018324	0.001723809	0.000630758	0.000168364	0.002369271	0.002121861	0.000788869	0.000194894
GRMZM2G074401	x	GRMZM2G074401	526.75	4546.290125	6595.671427	4122.177515	24.80584103	214.0950169	310.6049871	194.1226011	522	3.19497E-05	0.000193316	6.91079E-05	0	3.58269E-05	0.000210996	7.7688E-05	0
GRMZM2G074479	x	GRMZM2G074479	1392.083333	1668.013968	2153.204218	2807.13606	80.37536835	96.30690485	124.3205619	162.0769314	180	0.000384878	0	0	0	7.96875E-05	0	0	0
GRMZM2G074549	x	GRMZM2G074549	886	398.1526492	251.7996199	213.5247723	44.89301115	20.17412113	12.75851371	10.81915348	450	5.24149E-05	0	0	0	3.8956E-05	0	0	0
GRMZM2G074604	x	GRMZM2G074604	14539.76667	9852.250174	1328.553939	194.3974325	358.9623789	243.2354824	32.79976174	4.799345574	7	0.001163629	0.002362815	0.000278583	0	0.003117225	0.006559533	0.000775817	0
GRMZM2G074687	x	GRMZM2G074687	5508.1	473.8225979	135.5803964	161.7424362	220.0280619	18.92744647	5.415931418	6.461007382	481	0.000365611	0.00045564	0.000136404	3.79737E-05	0.000731831	0.000934957	0.000288923	7.24128E-05
GRMZM2G074898	x	GRMZM2G074898	3538.166667	1498.318301	327.1220623	570.5782736	236.9384973	100.3370729	21.90620657	38.20960725	174	0.000489492	0.000243026	6.84498E-05	0	0.000201914	9.94695E-05	2.88555E-05	0
GRMZM2G075027	x	GRMZM2G075027	383	71.97594519	23.74483462	70.73284384	13.64886217	2.564986307	0.846187925	2.520686257	204	6.14983E-05	0	0	0	0.00011061	0	0	0
GRMZM2G075153	x	GRMZM2G075153	548.8333333	835.1494593	1399.423138	1511.059848	19.59927996	29.82385921	49.97452632	53.96116307	565	0.000270333	0	0	0	0.000226265	0	0	0
GRMZM2G075584	x	GRMZM2G075584	140.8333333	49.22164506	27.9197506	40.45034507	10.39346795	3.632546206	2.060471242	2.985226262	590	0.000227161	7.11364E-05	7.87482E-05	3.88146E-05	0.000234088	7.75868E-05	8.59248E-05	3.99425E-05
GRMZM2G075624	x	GRMZM2G075624	3658.5	2282.66569	1376.678544	1324.472501	261.8403243	163.3713064	98.52944002	94.79303243	519	0.002372708	0.001381053	0.000673018	0.000405894	0.001626958	0.000984075	0.000491922	0.000268004
GRMZM2G075630	x	GRMZM2G075630	5108.916667	1478.59156	255.8179765	563.9028614	368.7198974	106.712668	18.46285313	40.69790501	28	0.000619806	0.001781539	8.65301E-05	0.000231229	0.000167511	0.000524016	2.54913E-05	5.92708E-05
GRMZM2G075701	x	GRMZM2G075701	2675.5	84.92399882	19.83085089	35.51378201	102.2397954	3.245229776	0.757803079	1.357100283	273	0.000141406	1.11331E-05	0	0	0.000185393	1.56289E-05	0	0
GRMZM2G075796	x	GRMZM2G075796	532.4007937	204.7823541	137.5603751	253.2165638	30.3820386	11.68613094	7.850034553	14.45008254	119	0.001940731	0.000283605	0	0.000187562	0.001603138	0.000248947	0	0.000141864
GRMZM2G075844	x	GRMZM2G075844	1572.5	231.9224901	135.6847693	132.1820019	54.29280522	8.007454741	4.684710175	4.563772136	397	0.000894592	0.001201022	0	0	0.000125394	0.000167456	0	0
GRMZM2G076062	x	GRMZM2G076062	5829.8	741.2951117	913.3063587	1828.222973	141.2381867	17.95930862	22.12661395	44.29223946	655	9.6094E-06	0	0	0	1.9478E-05	0	0	0
GRMZM2G076524	x	GRMZM2G076524	574.2857143	406.8844248	295.4498575	214.703653	29.29308563	20.754304	15.07026513	10.95157399	659	0.000322864	0.000227511	0	0	0.000336875	0.000248389	0	0
GRMZM2G076676	x	GRMZM2G076676	822.1428571	131.9558995	59.75348493	172.8533871	32.18658282	5.166023704	2.339326401	6.767144921	210	0.000204793	0	0	0	0.000227829	0	0	0
GRMZM2G076826	x	GRMZM2G076826	165.75	734.0403934	512.8623346	445.6169162	9.989721701	44.24047812	30.91011761	26.85724873	136	0.000127799	0.00021623	0	0	7.16538E-05	0.0001228	0	0
GRMZM2G076946	x	GRMZM2G076946	284.3333333	4186.696018	646.8510443	122.8983162	10.42468387	153.4993521	23.71588856	4.505894821	22	0	3.33992E-05	0	4.59646E-05	0	9.37734E-05	0	0.000119827
GRMZM2G077015	x	GRMZM2G077015	167.0333333	3931.73361	360.0169212	203.356926	5.752610263	135.408488	12.39894454	7.00359094	22	0	0	7.51621E-05	0.000152322	0	0	0.000196123	0.000353614
GRMZM2G077054	x	GRMZM2G077054	430.4960317	620.9725125	421.8584853	295.3882151	4.368386362	6.301214541	4.280738307	2.997402427	386	2.12831E-05	1.74817E-06	1.13508E-06	0	0.000177218	1.56289E-05	1.03829E-05	0
GRMZM2G077208	x	GRMZM2G077208	8683.5	1677.153771	281.0240318	694.9501907	642.9120063	124.1736967	20.80655543	51.45296498	726	0.000891241	0.000699222	0.000678158	0.000145555	0.000247307	0.000200387	0.000200852	3.99425E-05
GRMZM2G077299	x	GRMZM2G077299	26.61666667	53.04893738	21.08332569	37.88627948	0.516454948	1.02933198	0.409089087	0.735124227	417	1.85988E-05	6.82349E-06	0	7.81321E-05	3.8956E-05	1.56289E-05	0	0.000151528
GRMZM2G077530	x	GRMZM2G077530	108.3555556	51.98262708	49.36838144	48.5747981	9.782981459	4.693299519	4.457269935	4.38562053	70	0	7.73263E-05	3.94903E-05	0	0	2.10996E-05	1.10983E-05	0
GRMZM2G077851	x	GRMZM2G077851	9997.833333	2286.283529	452.7174513	985.6916506	484.0923293	110.7012172	21.92045398	47.72691754	149	0.000339916	0.000252494	6.76976E-06	0.000112951	0.000328872	0.000241138	6.65897E-06	0.000107021
GRMZM2G078200	x	GRMZM2G078200	436.2190476	60.77968705	74.35326552	60.12291726	14.08437908	1.962418095	2.400673659	1.941212706	496	2.02359E-05	0	0	0	4.71304E-05	0	0	0
GRMZM2G078396	x	GRMZM2G078396	3929.866667	1474.745226	268.7602161	511.9289573	105.4321205	39.56508693	7.210412434	13.73424599	35	0.000356496	0.000247019	5.01323E-05	0	0.000197846	0.000142001	2.96445E-05	0
GRMZM2G078641	x	GRMZM2G078641	7336.75	2751.048836	4534.640075	6063.008157	321.6913832	120.6240782	198.828451	265.8421618	576	0.002507833	0.0024842	0.001038539	0.00291295	0.003117068	0.003123718	0.001350802	0.003486085
GRMZM2G078691	x	GRMZM2G078691	987.5	207.3592707	178.2167258	226.7871805	59.51644151	12.49750471	10.74108895	13.66842123	169	0.000103822	0	0	0	6.40348E-05	0	0	0
