Protein	A_1	A_2	A_3	B_1	B_2	B_3	xbar(A)	s(A)	xbar(B)	s(B)	STN	pValue
AT4G28520.1	0.0	0.0128007402838	0.0	0.0	0.0	0.0	0.004266913428	0.000619559868	0.000018495912	0.000039727332	-6.443955704092	0.000231047315
AT5G44120.3	0.0	0.00741826033313	0.0	0.0	0.0	0.0	0.002472753444	0.000404913664	0.000018495912	0.000039727332	-5.519638429400	0.000380223285
AT1G03880.1	0.0	0.00723318938927	0.0	0.0	0.0	0.0	0.002411063130	0.000397793890	0.000018495912	0.000039727332	-5.468459803532	0.000516108453
AT5G53460.1	0.0010593220339	0.000616903146206	0.000377548452051	0.00340236686391	0.00401085289607	0.00405060481634	0.000684591211	0.000194998607	0.003821274859	0.000564609105	4.129346762470	0.000671132376
AT3G12580.1	0.000242130750605	9.25354719309e-05	0.000119557009816	0.00101331360947	0.00109118792025	0.00170347353235	0.000151407744	0.000106682212	0.001269325021	0.000266406532	2.996384363840	0.000818926103
AT4G12060.1	0.000756658595642	0.000462677359655	0.000943871130128	0.0	0.0	0.0	0.000721069028	0.000199740864	0.000018495912	0.000039727332	-2.933889042294	0.000820520999
AT5G09590.1	0.0	0.0	0.0	0.000473372781065	0.000926035153946	0.00071579181001	0.000020974914	0.000042953678	0.000705066582	0.000197668163	2.843015687378	0.000866879320
AT5G60600.1	0.000378329297821	0.000925354719309	0.000943871130128	0.00273668639053	0.00194644331721	0.00249694817445	0.000749185049	0.000203355436	0.002393359294	0.000395752702	2.744369741922	0.000906432749
AT2G34430.1	0.00295853510896	0.00429518815546	0.00547445255474	0.00240384615385	0.00197003656954	0.000976584174897	0.004242725273	0.000616545633	0.001783488966	0.000325772539	-2.609772770670	0.000949813929
AT4G16390.1	0.0	0.0	0.0	0.000443786982249	0.000825763831544	0.000499389634891	0.000020974914	0.000042953678	0.000589646816	0.000182321332	2.524345257770	0.001048272196
AT5G56500.1	0.0	0.000316162862431	0.00029574628744	0.000621301775148	0.00195823994338	0.000754633226057	0.000203969717	0.000119321944	0.001111391648	0.000247788698	2.471794136860	0.001088144604
AT4G22240.1	0.000453995157385	0.000185070943862	0.0	0.00139792899408	0.00122684912115	0.000760181999778	0.000213022034	0.000121286147	0.001128320038	0.000249799274	2.466542612756	0.001097395003
AT1G70070.1	0.0	0.0	0.0	0.000221893491124	0.00076678070072	0.000721340583731	0.000020974914	0.000042953678	0.000570004925	0.000179626870	2.466657648708	0.001097395003
sum117	0.00785411622276	0.00465761875386	0.00583941605839	0.00368343195266	0.00165152766309	0.00342914215958	0.006117050345	0.000861834246	0.002921367258	0.000457091776	-2.422943390063	0.001266772993
AT5G13650.1	0.000453995157385	0.000385564466379	0.00088094638812	0.00207100591716	0.00171051079391	0.00160914437909	0.000573502004	0.000180108652	0.001796887030	0.000327308039	2.411006669423	0.001297076023
AT3G09440.1	0.000976089588378	0.00166563849476	0.00101938082054	0.00330621301775	0.00330895363926	0.00222505826212	0.001220369635	0.000260666294	0.002946741640	0.000460067482	2.395297767765	0.001300478469
AT3G26060.1	0.00128631961259	0.00123380629241	0.0014472690662	0.000369822485207	0.000235932523298	0.000388414160471	0.001322464990	0.000272611635	0.000331389723	0.000143625378	-2.381035888997	0.001319298246
sum35	0.00381355932203	0.00395589142505	0.00317140699723	0.00511834319527	0.00616373717117	0.010997669515	0.003646952581	0.000543438438	0.007426583294	0.001048352850	2.374451187008	0.001342583732
AT3G26650.1	0.00773305084746	0.00751850709439	0.00470047822804	0.00346893491124	0.00325586882152	0.0030906669626	0.006650678723	0.000936272744	0.003271823565	0.000498458862	-2.355043372426	0.001348856991
ATCG00720.1	0.00242130750605	0.00215916101172	0.00257991442235	0.000739644970414	0.00106169635484	0.000998779269781	0.002386794313	0.000394996005	0.000933373532	0.000226350448	-2.339147146345	0.001360233918
AT4G05180.1	0.00351846246973	0.00391733497841	0.00363075761389	0.00144230769231	0.00207620620503	0.0015592054156	0.003688851687	0.000548510823	0.001692573104	0.000315346262	-2.310889864252	0.001487719298
AT1G20960.1	0.000151331719128	0.000154225786552	6.29247420086e-05	0.000443786982249	0.00100271322402	0.0011097547442	0.000122827416	0.000098531148	0.000852084983	0.000216330074	2.316123797467	0.001503030303
AT5G26742.2	0.000226997578692	0.000771128932758	0.00113264535615	0.00192307692308	0.00159254453226	0.0022195094884	0.000710257289	0.000198341763	0.001911710315	0.000340462144	2.229852105918	0.001667410952
ATCG01130.1	0.000151331719128	0.0	0.0	0.000369822485207	0.00135661200897	0.00011097547442	0.000050443906	0.000068159134	0.000612469990	0.000185418588	2.216385886026	0.001908027645
AT4G25370.1	0.000605326876513	0.000231338679827	0.000566322678077	0.0	0.0	0.0	0.000467662745	0.000165062235	0.000018495912	0.000039727332	-2.193309152183	0.001910366826
sum63	0.005901937046	0.00592998149291	0.00373143720111	0.00810650887574	0.0107821163147	0.0111752302741	0.005187785247	0.000737175643	0.010021285155	0.001457740454	2.202134247792	0.001928442318
AT4G04020.1	0.000605326876513	0.000817396668723	0.000818021646111	0.00215236686391	0.00237112185915	0.00123737653978	0.000746915064	0.000203064836	0.001920288421	0.000341444675	2.154918020898	0.002048803828
AT2G28000.1	0.00514527845036	0.00516656384948	0.00471935565064	0.00695266272189	0.0106169635484	0.00954389080013	0.005010399317	0.000714074669	0.009037839023	0.001296164621	2.003462835236	0.002588835726
AT2G29450.1	0.0	0.0	0.0	0.000295857988166	0.000471865046597	0.000499389634891	0.000020974914	0.000042953678	0.000422370890	0.000158259639	1.994877783850	0.002633173844
AT2G04030.1	0.00143765133172	0.00169648365207	0.00196325195067	0.00359467455621	0.00231213872832	0.00400621462657	0.001699128978	0.000316098582	0.003304342637	0.000502328156	1.961340684902	0.002758958001
AT1G69830.1	0.0	7.71128932758e-05	0.0	0.000591715976331	0.000235932523298	0.000443901897681	0.000025704298	0.000048390376	0.000423850132	0.000158486096	1.924558315029	0.002889952153
AT5G49910.1	0.000711259079903	0.00185070943862	0.001503901334	0.00314349112426	0.00129173056506	0.00360115414493	0.001355289951	0.000276432754	0.002678791945	0.000428782728	1.876734171993	0.003118128655
AT2G38270.1	0.0	0.0	0.0	0.000295857988166	0.000294915654123	0.000554877372101	0.000020974914	0.000042953678	0.000381883671	0.000151931993	1.851899914021	0.003315257842
AT3G11630.1	0.00121065375303	0.00135718692165	0.000849484017116	0.00312869822485	0.00233573198065	0.00144268116746	0.001139108231	0.000251078481	0.002302370458	0.000385275190	1.828012125352	0.003497713982
AT1G69740.1	0.000226997578692	0.000154225786552	0.000692172162094	0.00147928994083	0.000825763831544	0.000887803795361	0.000357798509	0.000148034428	0.001064285856	0.000242171299	1.810550941552	0.003580861244
AT4G12800.1	0.00264830508475	0.00370141887724	0.0029574628744	0.00177514792899	0.00147457827061	0.00183109532793	0.003102395612	0.000478386058	0.001693607176	0.000315464933	-1.774625782262	0.003741520468
AT4G20360.1	0.00544794188862	0.00640037014189	0.00528567832872	0.0105029585799	0.00831662144627	0.0100321828876	0.005711330120	0.000806644554	0.009617254305	0.001390395447	1.777812048512	0.003761935141
AT4G24280.1	0.0011803874092	0.00200493522517	0.00170526050843	0.00314349112426	0.00307302111596	0.00277993563422	0.001630194381	0.000308182951	0.002998815958	0.000466183453	1.767408258166	0.003808080808
AT1G79600.1	0.0	0.0	6.29247420086e-05	0.000221893491124	0.000117966261649	0.000721340583731	0.000020974914	0.000042953678	0.000353733446	0.000147365487	1.748423662724	0.003940244551
