Accession,STN,pVal
AT2G43030.1,0,0.7932
AT4G01310.1,0.0465,0.7523
AT1G31230.1,0.0284,0.7741
AT1G69830.1,0.1894,0.538
AT5G24490.1,0.1057,0.6622
AT2G33800.1,-0.0351,0.7672
AT3G58140.1,0.125,0.6397
AT5G13510.1,0,0.7932
AT3G12780.1,-0.0052,0.7933
AT3G11630.1,-0.071,0.7168
AT5G64050.1,0.0588,0.7337
AT1G56190.1,0.0665,0.7237
ATCG00120.1,-0.1164,0.6507
AT3G52150.1,-0.197,0.5272
AT3G25860.1,-0.0527,0.743
AT1G05190.1,-0.1033,0.6658
AT2G47730.1,-0.091,0.6877
AT5G51820.1,-0.1868,0.5425
AT2G39730.1,-0.0273,0.7766
AT3G44890.1,-0.1504,0.5974
AT5G48300.1,-0.1232,0.6419
AT5G58330.1,0.0675,0.7215
AT3G18890.1,0.0441,0.7552
AT1G52670.1,-0.1032,0.6662
AT3G04870.1,-0.0525,0.7442
AT3G46780.1,-0.1497,0.6004
AT1G16880.1,-0.0318,0.7723
AT5G38430.1,-0.1942,0.5335
AT3G14420.1,-0.3264,0.3502
AT5G14320.1,-0.033,0.7707
AT3G57610.1,-0.2879,0.4003
AT5G23120.1,-0.2255,0.4792
AT1G03475.1,-0.0539,0.7411
AT1G42970.1,-0.1365,0.6222
AT1G79850.1,-0.2536,0.447
AT5G13030.1,-0.0846,0.6953
AT1G32500.1,0.046,0.7526
ATCG01120.1,0,0.7928
AT3G15190.1,0,0.7932
ATCG00490.1,-0.374,0.2952
AT1G32060.1,-0.1105,0.6589
AT5G54600.1,-0.145,0.6086
AT1G29900.1,-0.2384,0.4644
AT5G49030.1,-0.119,0.6483
AT5G35360.1,-0.2053,0.5141
AT5G42650.1,-0.2669,0.4251
ATCG01110.1,-0.1191,0.646
AT1G32220.1,-0.271,0.4191
AT4G05180.1,-0.4011,0.274
AT4G34200.1,-0.216,0.4953
AT2G41680.1,-0.2517,0.4485
AT1G48350.1,-0.1502,0.5976
AT3G04790.1,-0.1905,0.5378
AT1G09340.1,-0.3857,0.2845
AT4G20850.1,-0.3267,0.3497
ATCG00480.1,-0.5069,0.1928
AT5G35630.1,-0.2434,0.4598
AT5G14740.2,-0.2176,0.4929
AT1G65260.1,-0.245,0.4589
AT2G21860.1,-0.1176,0.6501
ATCG00500.1,-0.2319,0.4733
AT3G26650.1,-0.3602,0.3106
AT1G67090.1,-0.5261,0.1847
AT5G42080.1,-0.2653,0.4263
AT2G35490.1,-0.3079,0.3731
AT1G06680.1,-0.2909,0.397
AT4G29670.1,-0.3497,0.3217
AT1G04620.1,-0.3422,0.3288
AT1G63940.1,-0.4322,0.2475
AT4G02520.1,-0.5191,0.1872
AT3G27925.1,-0.4084,0.2656
AT2G27680.1,-0.3903,0.2822
AT5G04140.1,-0.7864,0.0809
AT5G24300.1,-0.1739,0.5668
AT5G19220.1,-0.6489,0.1238
AT1G12900.1,-0.6099,0.1403
AT1G36390.1,-0.3493,0.3235
AT5G26570.1,-0.4216,0.2562
AT1G51100.1,-0.3405,0.3326
AT3G54050.1,-0.3422,0.3288
AT3G54210.1,-0.5619,0.1623
AT3G58610.1,-0.6968,0.1076
AT5G27380.1,-0.6789,0.1131
AT3G02730.1,-0.7654,0.0861
AT4G21280.1,-0.7347,0.0938
AT2G43750.1,-0.8401,0.0676
AT2G20890.1,-0.6869,0.1116
AT5G13280.1,0.1032,0.6648
AT1G48860.1,0.0843,0.695
AT2G35040.1,0.0471,0.7508
AT1G34430.1,-0.0348,0.7674
AT5G03940.1,-0.1493,0.6009
AT4G15110.1,-0.0533,0.7425
AT5G16400.1,-0.5194,0.1869
AT1G22940.1,-0.8893,0.0577
AT1G79530.1,0.7711,0.0844
AT5G17990.1,0.7514,0.0895
AT1G66670.1,0.7134,0.0984
AT1G69740.1,0.7522,0.0894
AT3G49680.1,0.4287,0.2506
ATCG00380.1,0.4717,0.2139
AT3G04550.1,0.2909,0.3961
AT1G74040.1,0.3497,0.3207
AT3G62530.1,0.3693,0.2966
AT1G62640.1,0.2948,0.3844
AT4G09650.1,0.1739,0.5639
AT3G15000.1,0.2879,0.3988
ATCG00470.1,0.1406,0.6135
AT3G13490.1,0.172,0.5676
AT2G20270.1,0.1104,0.6589
AT3G56940.1,0.2092,0.5084
AT5G66570.1,0.0671,0.723
AT4G32520.1,-0.1211,0.644
AT5G17710.1,0,0.7932
AT3G47520.1,0.0495,0.7478
AT2G38270.1,-0.0777,0.7066
AT3G52180.1,0.0436,0.7558
AT4G31530.1,0.0273,0.7752
AT1G24360.1,-0.0471,0.7527
ATCG00160.1,0,0.7932
AT4G03280.1,-0.119,0.6483
AT2G19940.1,-0.2797,0.4097
AT5G61410.1,-0.2398,0.4629
AT3G48730.1,-0.2911,0.3963
AT1G14810.1,-0.1943,0.5335
AT1G52510.1,-0.334,0.3379
ATCG00420.1,-0.4968,0.1988
AT1G48520.1,-0.3916,0.2798
AT1G50200.1,-0.538,0.1753
AT2G42130.3,-0.3114,0.3704
AT3G63140.1,-0.6597,0.1207
AT4G31990.1,-0.6373,0.1296
AT4G09010.1,-0.5274,0.1834
AT2G28190.1,-0.4927,0.2015
AT5G65620.1,-0.6877,0.1108
AT4G26900.1,-0.8162,0.0744
AT4G29840.1,-1.1047,0.0295
