Accession,STN,pVal
AT5G54810.1,0.0708,0.7159
AT4G34740.1,-0.3171,0.3638
AT4G27440.1,0.0541,0.7394
AT5G54190.1,0,0.7945
AT5G38410.1_AT5G38420.1,-0.6238,0.1329
ATCG01310.1_ATCG00830.1,0.7378,0.0924
AT5G42270.1,0.2149,0.4959
AT1G50010.1,0.1095,0.6599
AT5G13110.1,0.9335,0.0479
AT1G27510.1,2.3344,0
AT4G33630.1,2.2513,0
AT3G17800.1,2.1946,1e-04
AT1G36180.1,2.1231,1e-04
AT5G24060.1,1.9299,5e-04
AT4G11570.1,1.8582,8e-04
AT3G44720.1,1.423,0.0082
AT5G66050.1,1.699,0.0018
AT2G14910.1,1.8585,8e-04
AT1G48450.1,2.5077,0
AT4G09730.1,1.2581,0.0155
AT4G22240.1,1.4091,0.0087
AT4G21990.1,1.6188,0.0035
AT1G74850.1,1.2968,0.0131
AT4G25370.1,1.2787,0.0136
AT2G44650.1,1.1764,0.021
AT1G30680.1,1.2984,0.0131
AT1G23180.1,1.5799,0.0042
ATCG00180.1,1.2596,0.0154
AT5G64840.1,1.454,0.0064
AT4G36390.1,1.1628,0.0216
AT3G02060.1,1.1531,0.0222
AT5G26742.1,1.8323,9e-04
ATCG00190.1,1.1634,0.0215
AT3G48500.1,1.2078,0.0187
AT5G20720.1,1.4086,0.0087
AT1G62180.1,1.8237,9e-04
AT3G04260.1,1.3251,0.0122
AT4G31210.1,0.9644,0.0442
AT2G35390.1,1.035,0.0358
AT4G04610.1,1.6796,0.0025
AT5G45930.1,0.9383,0.0476
AT1G35340.1,0.956,0.045
AT3G10270.1,0.8573,0.0648
AT4G15560.1,1.2325,0.0173
AT3G48870.1,2.2281,0
AT5G52920.1,0.8776,0.0589
AT2G29630.1,1.0701,0.0329
AT2G03390.1,1.2365,0.0168
AT4G12060.1,0.9506,0.0461
AT3G21200.1,0.9306,0.0481
AT2G44530.1,1.0248,0.0368
AT5G60600.1,1.3611,0.0102
AT3G29240.1,1.5759,0.0043
AT3G07630.1,0.8467,0.0665
AT4G30720.1,0.8222,0.0708
AT5G46580.1,1.0666,0.0334
AT5G51070.1,1.5367,0.0046
AT4G04020.1,1.0163,0.0371
AT1G02150.1,1.0628,0.0335
AT5G67030.1,0.9039,0.0544
AT3G10050.1,1.0614,0.0336
AT1G74960.1,0.4882,0.2021
AT3G10970.1,1.6495,0.0031
AT1G75380.1,1.3714,0.0099
AT2G39670.1,1.22,0.0182
AT1G19660.1,1.1987,0.0194
AT5G42390.1,1.0824,0.0315
AT1G32160.1,0.7843,0.0812
AT5G51110.1,0.6725,0.1155
AT1G54870.1,1.3784,0.0094
AT3G23400.1,0.6027,0.1421
AT1G07320.1,0.7181,0.0974
AT2G27820.1,0.8076,0.0759
AT4G33760.1,0.5619,0.162
AT1G74470.1,0.91,0.0516
AT5G55280.1,0.6638,0.1193
AT4G19170.1,1.0232,0.0369
AT4G04770.1,0.5085,0.1918
AT4G18240.1,0.6424,0.1269
AT3G48560.1,0.8414,0.067
AT5G54770.1,0.7528,0.0891
AT1G14410.1,0.485,0.206
AT4G39980.1,0.7295,0.0947
AT2G47450.1,0.5638,0.1581
AT1G06690.1,0.5261,0.1837
AT2G47940.1,0.3526,0.3153
AT1G11750.1,0.5951,0.1457
AT1G17745.1,0.5274,0.183
ATCG00170.1,0.6027,0.1422
AT5G52960.1,0.4057,0.266
ATCG00670.1,0.6315,0.131
AT1G08520.1,0.9178,0.0507
AT4G16390.1,0.7646,0.0862
AT4G17040.1,0.5836,0.1506
AT1G49970.1,0.6598,0.1203
AT1G62780.1,0.4176,0.2573
AT3G22890.1,0.759,0.0871
AT1G75460.1,0.7671,0.0856
AT1G01080.1,0.5274,0.183
AT1G63610.1,0.9972,0.0395
AT1G02560.1,0.5683,0.1556
AT5G45390.1,0.7108,0.0996
AT5G13630.1,0.882,0.0581
AT3G10690.1,0.7615,0.0867
AT5G53460.1,0.5676,0.1559
AT5G49910.1,1.019,0.0371
AT3G52750.1,0.6041,0.1418
AT4G01690.1,0.6012,0.143
AT5G13650.1,0.9119,0.0513
AT1G12410.1,0.4675,0.216
AT1G62750.1,0.5785,0.1515
AT1G22410.1,0.747,0.0903
AT2G46910.1,0.3114,0.3685
AT1G03630.1,0.468,0.2157
AT2G31810.1,0.5065,0.1931
AT1G35680.1,0.3916,0.2776
AT3G13470.1,0.6762,0.1144
AT4G18480.1,0.4889,0.2021
AT1G18500.1,0.585,0.1504
AT1G16720.1,0.67,0.1161
AT1G32900.1,0.5672,0.156
AT2G04842.1,0.6478,0.1237
AT4G29060.1,0.4019,0.2713
AT1G10760.1,0.3882,0.2827
AT4G33510.1,0.5048,0.1934
AT5G22800.1,0.3297,0.3462
AT2G36250.1,0.5045,0.1935
AT1G80480.1,0.4947,0.1997
AT2G37690.1,0.4488,0.2317
AT1G09130.1,0.4833,0.2078
AT5G14060.1,0.2977,0.3828
AT5G63570.1,0.1999,0.5237
AT4G01800.1,0.5718,0.1544
AT5G08650.1,0.5262,0.1837
AT4G13430.1,0.3667,0.3
AT4G24280.1,0.7496,0.0898
AT1G56050.1,0.3297,0.3462
AT3G25920.1,0.197,0.5264
AT5G35790.1,0.3552,0.3128
ATCG00770.1,0.2092,0.5084
AT5G35970.1,0.3654,0.3017
AT2G30950.1,0.3319,0.3389
AT4G39960.1,0.6514,0.1231
AT2G28000.1,0.5899,0.1481
AT5G46290.1,0.3152,0.3634
AT4G14210.1,0.2563,0.4416
AT2G04030.1,0.636,0.1296
AT4G19710.2,0.1813,0.5499
AT5G52520.1,0.3123,0.3675
AT5G28500.1,0.3472,0.3243
AT1G33780.1,0.4428,0.2381
AT1G73110.1,0.3404,0.332
AT3G24430.1,0.3239,0.3523
AT4G04640.1,0.3405,0.3316
AT1G58290.1,0.1864,0.542
AT4G17090.1,0.4809,0.2105
AT5G63420.1,0.4057,0.266
ATCG00800.1,0.1349,0.6217
AT3G45140.1,0.3576,0.3113
AT5G11880.1,0.1045,0.6638
AT5G15450.1,0.3095,0.3705
AT2G35500.1,0.3776,0.292
AT2G38040.1,0.4376,0.2432
AT5G40950.1,0.1664,0.5723
AT4G16155.1,0.2514,0.4478
AT2G22360.1,0.5627,0.1614
AT2G21330.1,0.2662,0.4244
AT3G01180.1,0.1536,0.5935
ATCG00780.1,0.0946,0.6807
AT5G65220.1,0.0455,0.753
AT5G19940.1,0.0318,0.771
AT5G14260.1,0.0955,0.6791
AT5G55220.1,0.3579,0.3113
AT3G48110.1,0.1851,0.5447
AT1G78630.1,0.0558,0.738
AT3G19170.1,0.1157,0.651
AT1G01090.1,0.1647,0.5754
AT5G47190.1,0.0122,0.7886
AT4G34620.1,0.1905,0.5371
AT4G20360.1,0.3074,0.3725
AT1G74970.1,0.1739,0.5637
AT1G17220.1,0.2693,0.4208
AT4G38970.1,0.1793,0.5564
AT1G32990.1,-0.0207,0.7845
AT3G63490.1,0.2186,0.4911
AT5G04590.1,0.119,0.6449
AT3G60750.1,0.1852,0.5445
AT3G29320.1,0.0858,0.6926
AT1G64190.1,0.088,0.6894
AT4G33470.1,0.037,0.7623
AT1G06950.1,0.3522,0.3167
AT3G01500.1,-0.0423,0.7591
AT3G22960.1,0.0382,0.7618
AT1G20020.1,0.2718,0.4169
AT5G30510.1,0.2028,0.5195
AT1G55490.1,0.1349,0.6217
AT5G66190.1,0.2604,0.4295
AT5G50920.1,0.1102,0.6592
AT4G17560.1,-0.0149,0.7883
AT4G24830.1,-0.1232,0.6416
