Accession,STN,pVal
ATCG00780.1,0.1104,0.6395
AT5G65220.1,0.0794,0.6942
AT5G19940.1,0.0911,0.6711
AT5G14260.1,0.0674,0.713
AT5G55220.1,0.294,0.3916
AT3G48110.1,0.1274,0.6136
AT1G78630.1,0.0781,0.6962
AT3G19170.1,0.2496,0.4494
AT1G01090.1,0.1274,0.6135
AT5G47190.1,0.0194,0.7878
AT4G34620.1,0.118,0.6285
AT4G20360.1,0.3019,0.3818
AT1G74970.1,0.0751,0.7001
AT1G17220.1,0.1369,0.5994
AT4G38970.1,0.0839,0.6864
AT1G32990.1,0.0114,0.7982
AT3G63490.1,0.1274,0.6136
AT5G04590.1,0.0178,0.7908
AT3G60750.1,0.2609,0.4366
AT3G29320.1,0.1817,0.5394
AT1G64190.1,0.1054,0.6484
AT4G33470.1,0.0178,0.7908
AT1G06950.1,0.1859,0.5334
AT3G01500.1,-0.0214,0.7847
AT3G22960.1,0.03,0.7727
AT1G20020.1,0.1021,0.6536
AT5G30510.1,0.0613,0.7237
AT1G55490.1,0.0531,0.738
AT5G66190.1,0.0966,0.6625
AT5G50920.1,0,0.8146
AT4G17560.1,-0.0611,0.7243
AT4G24830.1,-0.0663,0.7145
AT2G43030.1,-0.0432,0.7525
AT4G01310.1,-0.0334,0.7681
AT1G31230.1,0.002,0.814
AT1G69830.1,-0.0353,0.7651
AT5G24490.1,-0.0557,0.7334
AT2G33800.1,-0.1061,0.6471
AT3G58140.1,-0.0213,0.7848
AT5G13510.1,-0.0621,0.7225
AT3G12780.1,-0.1127,0.6361
AT3G11630.1,-0.1578,0.5692
AT5G64050.1,-0.0919,0.6691
AT1G56190.1,-0.0968,0.662
ATCG00120.1,-0.3835,0.2953
AT3G52150.1,-0.2197,0.4887
AT3G25860.1,-0.1714,0.5519
AT1G05190.1,-0.2247,0.4825
AT2G47730.1,-0.1185,0.6274
AT5G51820.1,-0.1372,0.5985
AT2G39730.1,-0.4319,0.2549
AT3G44890.1,-0.2232,0.4842
AT5G48300.1,-0.147,0.5843
AT5G58330.1,-0.0757,0.6991
AT3G18890.1,-0.2345,0.4689
AT1G52670.1,-0.1338,0.6038
AT3G04870.1,-0.136,0.6
AT3G46780.1,-0.2443,0.4554
AT1G16880.1,-0.145,0.5875
AT5G38430.1,-0.1862,0.533
AT3G14420.1,-0.2964,0.3881
AT5G14320.1,-0.1588,0.5674
AT3G57610.1,-0.1944,0.5232
AT5G23120.1,-0.2665,0.429
AT1G03475.1,-0.1844,0.5367
AT1G42970.1,-0.475,0.2234
AT1G79850.1,-0.2976,0.3869
AT5G13030.1,-0.2808,0.409
AT1G32500.1,-0.2298,0.4753
ATCG01120.1,-0.1759,0.5465
AT3G15190.1,-0.2163,0.493
ATCG00490.1,-0.8563,0.0756
AT1G32060.1,-0.4073,0.2769
AT5G54600.1,-0.2676,0.4278
AT1G29900.1,-0.4047,0.2798
AT5G49030.1,-0.1804,0.5414
AT5G35360.1,-0.5796,0.1646
AT5G42650.1,-0.4678,0.2288
ATCG01110.1,-0.395,0.2874
AT1G32220.1,-0.2688,0.4249
