Accession,STN,pVal
AT5G65220.1,0.131,0.6136
AT5G19940.1,0.1051,0.6538
AT5G14260.1,0.0885,0.6816
AT5G55220.1,0.1705,0.5583
AT3G48110.1,0.0785,0.6974
AT1G78630.1,0.1091,0.6464
AT3G19170.1,0.162,0.5703
AT1G01090.1,0.091,0.6779
AT5G47190.1,0.0776,0.6983
AT4G34620.1,0.0864,0.6859
AT4G20360.1,0.2403,0.4599
AT1G74970.1,0.0555,0.7325
AT1G17220.1,0.057,0.7297
AT4G38970.1,0.0953,0.6697
AT1G32990.1,0.0689,0.7108
AT3G63490.1,0.0764,0.6999
AT5G04590.1,0.0345,0.7666
AT3G60750.1,0.1458,0.5934
AT3G29320.1,0.067,0.7131
AT1G64190.1,0.052,0.7383
AT4G33470.1,0.0361,0.7645
AT1G06950.1,0.0558,0.7317
AT3G01500.1,0.014,0.7977
AT3G22960.1,0.0024,0.8133
AT1G20020.1,-0.0054,0.8096
AT5G30510.1,-0.0255,0.7805
AT1G55490.1,-0.0391,0.7602
AT5G66190.1,-0.0249,0.7824
AT5G50920.1,-0.1116,0.6421
AT4G17560.1,-0.0191,0.7898
AT4G24830.1,-0.0362,0.7635
AT2G43030.1,-0.0583,0.7257
AT4G01310.1,-0.0637,0.717
AT1G31230.1,-0.0697,0.7093
AT1G69830.1,-0.1534,0.5826
AT5G24490.1,-0.0913,0.6766
AT2G33800.1,-0.1034,0.6554
AT3G58140.1,-0.121,0.6278
AT5G13510.1,-0.0991,0.6625
AT3G12780.1,-0.2512,0.4471
AT3G11630.1,-0.1387,0.6018
AT5G64050.1,-0.1402,0.5997
AT1G56190.1,-0.2551,0.4418
ATCG00120.1,-0.5419,0.1878
AT3G52150.1,-0.15,0.587
AT3G25860.1,-0.2035,0.5095
AT1G05190.1,-0.2234,0.4805
AT2G47730.1,-0.165,0.5653
AT5G51820.1,-0.1747,0.5508
AT2G39730.1,-0.633,0.1436
AT3G44890.1,-0.2253,0.478
AT5G48300.1,-0.17,0.5585
AT5G58330.1,-0.1927,0.5238
AT3G18890.1,-0.329,0.3541
AT1G52670.1,-0.1503,0.5863
AT3G04870.1,-0.1989,0.5161
AT3G46780.1,-0.3225,0.3624
AT1G16880.1,-0.1971,0.5184
AT5G38430.1,-0.2193,0.4858
AT3G14420.1,-0.325,0.3601
AT5G14320.1,-0.2088,0.4999
AT3G57610.1,-0.1554,0.5801
AT5G23120.1,-0.2867,0.4034
AT1G03475.1,-0.2395,0.4604
AT1G42970.1,-0.6559,0.1338
AT1G79850.1,-0.2505,0.4485
AT5G13030.1,-0.3379,0.3473
AT1G32500.1,-0.3572,0.3274
ATCG01120.1,-0.1929,0.5235
AT3G15190.1,-0.2325,0.469
ATCG00490.1,-0.9207,0.0656
AT1G32060.1,-0.5319,0.1923
AT5G54600.1,-0.2569,0.4399
AT1G29900.1,-0.4667,0.2323
AT5G49030.1,-0.1938,0.5228
AT5G35360.1,-0.6515,0.1362
AT5G42650.1,-0.5536,0.1801
ATCG01110.1,-0.5273,0.1941
AT1G32220.1,-0.2745,0.4189
AT4G05180.1,-0.3926,0.292
