Accession,sepal,petal,stamen,carpel,silique,embryo,seed,seed imbibed,pollen,node,internode,cauline leaf,leaf distal,leaf proximal,leaf petiole,senescent leaf,root,flower pedicle,flower,silique septum,silique valves,egg like callus,callus,cell culture early,cell culture late,cotelydons,hypocotyl,root tip,root upper zone,shoot tip
AT1G11390.1,0.3088051834345623,0.47478313722099047,1.2323308541305178,-0.5496981960873254,-0.5599648736411247,-1.6562178879968372,0.09415557309679,-0.5544512875474168,2.3794419471092154,-0.93678996459725,-1.5997511614509394,-0.9788072931044668,-0.8896392973131352,-0.556637709619061,-0.8325071379628226,0.1369333962376232,0.8643465132901641,-1.1977346857563225,0.4206929564051367,-0.324116475391339,-0.4485524098165584,1.3747334742748851,1.4514483704407768,0.8295538838022878,0.39702256093387767,-0.3940819816839015,-0.034938390959319277,1.4869064327330646,0.9638762484644966,-0.901141778646559
AT1G61640.1,0.30431966530280175,0.45358181560791966,0.39291240894532886,0.12098448039978457,0.3485946344641423,-2.1435025501254104,-2.1435025501254104,-2.1435025501254104,0.4014734729146505,0.1472098730258059,0.07850733467200187,-2.1435025501254104,0.3239102333525988,0.29901180564182267,0.29660043929046387,0.26352619548898515,0.6702338077915457,0.6187104711361798,0.5680147039978486,0.43159414964671267,0.04269355040034064,0.9238267910027935,0.4939329637833213,1.0130188091231733,0.6796937834776461,0.3363523129880124,0.42244807963948766,0.7520918477782071,-2.1435025501254104,0.3342691207554778
AT1G65950.1,0.7182518668887211,-1.600805077088023,-1.600805077088023,-1.600805077088023,0.5675565227614054,0.03985450352373264,0.5636903505302335,0.5982053896917991,0.9959332844260078,0.39811573157001734,-1.600805077088023,0.43143555029418573,0.5484207996361418,0.6109991268227116,0.6498315949112009,0.7635360861137712,0.3507703668968027,0.5180280513709048,0.39506669984196363,1.1633739108037933,0.6456849117610479,0.670443049392842,-1.600805077088023,0.5626658758696078,-1.600805077088023,-1.600805077088023,-1.600805077088023,0.5482256616055463,0.6206828515910094,0.44566843040073917
AT2G39190.1,0.8133363908244805,0.18714278179671454,-0.11278201812523495,0.3472131687251749,0.4924977624196436,-0.1352660193409358,0.0073361959349770136,-0.07003842706531886,-4.619308609026944,0.18182164086884747,0.28311959008992355,0.20513434436019937,0.993142976686218,0.9434644560563767,0.39324976093307357,0.03368020511884404,-0.33755660641837343,0.35733205966997095,0.2469183854167295,-0.1839195661035233,0.3756943574620366,-0.8375911979555203,-1.023831130430868,-0.40483414642849636,-0.2469663629168993,0.32012768908414624,0.5814087934151925,0.5712680945157741,-0.3722966781318665,1.010502108565653
AT2G40090.1,1.2473232153700413,0.4230813664396507,0.31321265770493983,-1.1421512995448349,-1.5285040474768874,-0.7932898326346238,-1.835230298253789,-1.4236190739837553,-0.14019398256829668,-0.3941379464685216,-0.8729163297897787,0.6869928008230255,-0.5229221957792084,0.15849033179606287,-0.4675347745717109,0.7878001727548707,-0.9244526828560565,-0.4067105512824964,0.06300649523589508,0.7456649566215611,1.0394788024543813,1.682040848487377,0.9011801495006907,1.8190935676306728,1.698804321572674,-0.12059884173210764,-0.628373502822522,-0.29763470951803417,-1.0234477874273336,0.9555481703178645
AT4G01660.1,0.2152356470174672,0.6198188497698038,1.5773978507863093,-0.11785156356449535,-0.6007532518577093,-1.4459947592941016,-0.5700987610970812,-0.4372003285921567,3.4949857819649712,-0.5366405059376117,-0.9381395678512269,-0.81066174651739,-0.6901933361806452,-1.202441091848366,-0.048972418166374064,-0.18159047423141547,0.8022504533208688,-0.484210111679342,0.36112485457034454,-0.150188312964429,-0.06243048728079874,-0.016542209953146026,0.22187122276138516,-0.36579779523507705,-0.4600977378493342,0.10187010649111564,-0.1155150932321324,0.8403816491450675,1.9903923467351572,-0.9900092092297336
AT4G24810.1,1.1128601956137238,-0.17736440072885187,-0.3445467033651718,0.1604210386480986,0.4149223246393281,0.08007529404428505,-1.0388883128452926,-0.7225927287390127,-0.7742560950836044,0.36887263477360493,0.6140762690967059,1.36236180099096,0.9164253757007967,0.9509407146763424,0.5126353808496429,0.690474897426316,-1.5779766822066892,1.0004550954938674,0.08924137516993738,0.8932251033779701,1.2442553106972527,-0.46256547996389685,-2.303105798625608,-2.003300389176006,-0.37989532244305074,0.669686751715504,0.5219768893652611,-0.9234570902485465,-1.6429725301885965,0.7480150813347239
AT5G24810.1,1.6860705898674264,0.672338086819027,1.2050513626128803,0.48571036039955723,0.13433329424555726,1.1506097957456958,-1.6766883235774082,-1.7049775863607333,2.371322012827469,0.15682224055891952,-0.2417714368593288,-0.34119089635323413,-0.6440284720480816,-0.8886593631671673,-0.8472430683728815,0.9781267007178868,-0.34627889325671196,0.23069995559737735,0.6582952153654356,1.272823481367171,1.2152273564198321,-1.1342060937288836,-0.24105911729284393,-0.8586401814366648,-0.4385751570857505,-1.077525808224168,-0.23373240175183863,-0.15619132894287635,-0.4981047208564128,-0.888557603229098
AT5G24970.1,0.3032806382006671,0.23491188985369124,0.43350682552823916,0.5162862624341387,0.08346085300238125,0.29906595345576303,1.0965499250379267,1.0986951238601828,0.8794810418587696,-0.3227388534001925,-0.37929638940815563,-0.3217041104388694,-4.873109357537529,-0.16157132776571992,-0.4321187557020728,0.2679731893496448,0.042323510881461954,0.06165553791497346,0.24265984324701761,0.15735664302081767,-0.2153022488549454,0.3046182327604266,0.32200696203730667,0.24571359686458286,0.32145173410683975,0.21916360673500798,0.18897939742419897,-0.13938744818026774,-0.34719411997391725,-0.1267181563123527
AT5G50330.1,0.5069456884846766,0.6363953413926835,0.6860661913568246,0.2345923457091176,-0.6251569782675587,-0.9468902729108343,-1.7515144076154476,-0.33498612708612224,1.5278525578794124,0.49029177246448896,-0.30538724577513293,-0.4495999770765831,-0.21317254920920342,-0.651119633373265,-0.4842895750749645,-0.2605889389260702,0.8704955844886861,-0.623629763261339,-0.5161429166332281,0.5343628340724945,-0.08786819417521509,1.7678434874279672,1.0833602665458446,-0.3733119512897841,1.9644906006095706,-2.061611778401822,0.03729071181056235,0.24521012622853966,1.1283767469672237,-2.028303946361447
