"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT1G58290.1",0,0,0,0,0,0,0.044,0.0508,0.784772,0.94077,0.991521
"AT1G48520.1",4,6,8,9,2,7,0.017,0.0509,0.784777,0.94077,0.991521
"AT4G31530.1",4,5,7,4,7,5,0.003,0.0081,0.784796,0.933873,0.99894
"AT1G11930.1",0,0,0,0,0,0,0.007,0.0081,0.784796,0.933873,0.99894
"AT5G11720.1",0,1,0,1,1,1,0.007,0.008,0.784801,0.933873,0.99894
"AT1G66520.1",0,0,1,0,0,1,0.007,0.008,0.784801,0.933873,0.99894
"AT1G20440.1",1,0,0,0,0,0,0.007,0.0079,0.784807,0.933526,0.999345
"AT4G09580.1",0,0,0,0,0,0,0.046,0.0516,0.784816,0.941148,0.991146
"AT3G05900.1",5,23,0,10,18,0,0.002,0.0077,0.784818,0.933526,0.999345
"AT2G20990.1",0,0,0,1,0,0,0.007,0.0077,0.784818,0.933526,0.999345
"AT5G15610.1",0,0,0,0,0,0,0.007,0.0077,0.784818,0.933526,0.999345
"AT2G17840.1",1,0,0,0,0,1,0.047,0.0518,0.784827,0.941148,0.991146
"AT2G29080.1",0,2,2,1,2,2,0.005,0.0075,0.78483,0.933526,0.999345
"ATMG00070.1",2,5,2,0,3,5,0.025,0.0521,0.784843,0.941148,0.991146
"AT2G32640.1",1,1,0,0,1,0,0.006,0.0072,0.784847,0.933526,0.999345
"AT4G01883.1",1,5,0,0,5,0,0.004,0.007,0.784858,0.933526,0.999345
"AT4G26870.1",2,0,0,1,2,1,0.005,0.007,0.784858,0.933526,0.999345
"AT2G35810.1",0,0,0,0,0,1,0.006,0.0065,0.784886,0.933526,0.999345
"AT5G11950.1",0,0,1,0,0,0,0.005,0.0063,0.784897,0.933526,0.999345
"AT2G17630.1",0,0,0,0,0,0,0.005,0.0061,0.784908,0.933526,0.999345
"sum5",4,77,45,34,48,43,0.007,0.0533,0.78491,0.941527,0.990774
"AT5G40490.1",1,0,0,0,0,0,0.005,0.006,0.784914,0.933526,0.999345
"AT5G46070.1",0,3,0,0,3,0,0.036,0.0534,0.784916,0.941527,0.990774
"AT1G22740.1",0,0,0,0,0,0,0.005,0.0058,0.784925,0.933181,0.999752
"AT2G33255.1",2,2,0,0,2,2,0.004,0.0056,0.784937,0.933181,0.999752
"AT3G11930.1",2,3,0,3,2,1,0.003,0.0055,0.784944,0.933181,0.999753
"AT4G13670.1",0,0,0,0,0,1,0.046,0.0539,0.784946,0.941527,0.990774
"AT4G29350.1",11,9,12,14,11,8,0.013,0.054,0.784952,0.941527,0.990774
"AT2G21060.1",0,0,0,0,0,0,0.051,0.054,0.784952,0.941527,0.990774
"AT4G28740.1",0,0,2,2,0,0,0.004,0.0049,0.784981,0.933181,0.999753
"AT2G35450.1",0,1,2,1,2,0,0.041,0.0549,0.785005,0.941527,0.990774
"AT3G51800.1",1,0,1,0,0,0,0.004,0.0044,0.785011,0.933181,0.999753
"AT1G32160.1",0,0,0,0,0,0,0.003,0.004,0.785036,0.933181,0.999753
"sum48",0,0,0,0,0,0,0.003,0.0037,0.785054,0.932838,1
"AT2G21370.1",0,2,0,2,0,0,0.003,0.0035,0.785067,0.932838,1
"AT1G79790.1",0,1,0,0,0,0,0.003,0.0035,0.785067,0.932838,1
"AT1G64090.1",0,0,0,0,0,0,0.003,0.0035,0.785067,0.932838,1
"AT2G23420.1",1,1,0,0,0,0,0.049,0.056,0.785075,0.941907,0.990404
"AT4G13500.1",2,1,0,1,2,0,0.002,0.0033,0.785081,0.932838,1
"AT4G17260.1",0,1,1,0,0,0,0.049,0.0561,0.785082,0.941907,0.990404
"AT2G30105.1",0,0,0,0,0,0,0.002,0.0027,0.785121,0.932838,1
"AT1G74100.1",0,0,0,0,0,0,0.052,0.0569,0.785133,0.941907,0.990404
"AT5G38480.1",21,21,20,20,18,25,0.01,0.0572,0.785153,0.941907,0.990404
"AT5G47870.1",0,0,0,0,1,0,0.002,0.0021,0.785161,0.932838,1
"AT3G20630.1",0,3,0,0,3,0,0.001,0.002,0.785168,0.932838,1
"AT1G17890.1",0,1,0,0,0,1,0.002,0.002,0.785168,0.932838,1
"AT4G12720.1",0,0,0,0,0,0,0.002,0.0019,0.785174,0.932838,1
"AT1G29700.1",0,0,1,1,1,0,0.053,0.0576,0.78518,0.942289,0.990035
"AT5G04900.1",0,1,1,0,0,0,0.001,0.0014,0.785209,0.932497,1
"AT4G34620.1",12,27,14,23,22,9,0.012,0.0583,0.785229,0.942289,0.990035
"AT4G36020.1",0,0,0,0,1,0,0.001,0.001,0.785238,0.932497,1
"AT2G41950.1",1,0,0,0,0,0,0.001,8e-04,0.785252,0.932497,1
"AT1G51100.1",0,0,2,0,2,0,0,5e-04,0.785274,0.932497,1
"AT3G10380.1",0,2,0,0,2,0,0.045,0.059,0.785278,0.942289,0.990035
"AT1G50380.1",0,1,0,0,0,0,0,4e-04,0.785281,0.932497,1
"AT3G57260.1",0,0,0,0,0,0,0.053,0.0591,0.785285,0.942289,0.990035
"AT1G79750.1",1,0,0,1,0,0,0.052,0.0592,0.785292,0.942289,0.990035
"AT3G11560.1",1,0,1,1,1,0,0.053,0.0594,0.785306,0.942289,0.990036
"sum31",8,14,8,12,11,6,0,0,0.78531,0.932497,1
"AT1G01170.1",2,2,2,2,2,2,0,0,0.78531,0.932497,1
"AT1G78140.1",0,0,0,0,0,1,0,-1e-04,0.785317,0.932497,1
"AT5G02530.1",0,0,0,0,0,0,0,-5e-04,0.785345,0.932497,1
"AT2G42520.1",0,3,0,2,2,1,0,-7e-04,0.78536,0.932158,1
"AT3G44340.1",0,0,0,0,1,0,-0.001,-0.0011,0.785392,0.932158,1
"AT5G48180.1",0,0,0,0,0,0,-0.001,-0.0011,0.785392,0.932158,1
"AT1G04260.1",0,1,0,0,0,0,-0.001,-0.0013,0.785407,0.932158,1
"sum49",0,0,4,0,4,0,-0.001,-0.0015,0.785423,0.932158,1
"AT1G22270.1",1,0,0,1,0,0,-0.001,-0.0015,0.785423,0.932158,1
"AT3G58470.1",0,0,0,0,0,0,0.055,0.0611,0.785434,0.942672,0.989669
"AT4G26110.1",0,0,0,1,0,0,-0.002,-0.002,0.785461,0.932158,1
"AT1G55450.1",0,0,0,0,0,0,-0.002,-0.002,0.785461,0.932158,1
"AT1G51805.1",0,0,0,0,0,0,-0.002,-0.0024,0.785492,0.932158,1
"AT1G49760.1",9,18,8,12,13,11,0.014,0.0621,0.785511,0.943056,0.989304
"AT3G01390.1",3,2,2,3,2,2,-0.002,-0.0028,0.785523,0.93182,1
"AT5G64130.1",2,3,1,2,2,2,-0.002,-0.0028,0.785523,0.93182,1
"AT5G43430.1",0,0,1,1,0,0,-0.003,-0.0029,0.785532,0.93182,1
"AT5G08260.1",0,0,0,1,0,0,-0.003,-0.0029,0.785532,0.93182,1
"AT4G33350.1",0,2,2,1,1,3,-0.002,-0.003,0.78554,0.93182,1
"AT3G60340.1",0,0,0,0,1,0,0.056,0.0625,0.785544,0.943056,0.989304
"AT5G24650.1",2,2,0,0,2,2,-0.002,-0.0031,0.785548,0.93182,1
"AT3G55620.1",0,0,0,0,1,0,-0.003,-0.0031,0.785548,0.93182,1
"AT3G15000.1",0,1,0,0,1,0,0.055,0.0629,0.785576,0.943056,0.989304
"AT5G27700.1",1,0,0,0,0,0,-0.003,-0.0035,0.785582,0.93182,1
"AT5G24165.1",0,0,0,0,0,0,0.055,0.063,0.785584,0.943056,0.989304
"AT2G21250.1",10,9,19,1,20,17,-0.001,-0.0036,0.78559,0.93182,1
"AT1G18640.2",0,0,0,0,0,0,0.056,0.0631,0.785592,0.943056,0.989304
"AT2G42130.3",9,13,6,6,8,14,-0.001,-0.0037,0.785598,0.93182,1
"AT1G60550.1",0,0,0,0,0,1,-0.003,-0.0037,0.785598,0.93182,1
"AT3G14840.2",0,0,0,0,1,0,-0.003,-0.0039,0.785615,0.93182,1
"sum45",0,0,0,0,0,0,-0.003,-0.0039,0.785615,0.93182,1
"AT5G07460.1",0,0,0,0,0,0,-0.003,-0.004,0.785623,0.93182,1
"AT2G04690.1",1,1,0,0,0,1,0.055,0.0635,0.785624,0.943056,0.989304
"AT4G16566.1",0,0,0,0,0,0,0.056,0.0636,0.785632,0.943056,0.989304
"AT5G64270.1",1,5,5,2,6,3,-0.002,-0.0042,0.78564,0.93182,1
"AT2G45640.1",0,1,0,0,0,0,-0.004,-0.0047,0.785681,0.93182,1
"AT3G53890.1",0,0,1,0,0,0,-0.005,-0.0048,0.785689,0.93182,1
"AT3G17940.1",0,0,0,0,0,0,0.058,0.0644,0.785699,0.943441,0.988941
"AT4G32130.1",0,1,1,0,0,0,-0.005,-0.0055,0.78575,0.931485,1
"AT1G62630.1",0,0,0,0,1,0,0.059,0.065,0.785751,0.943441,0.988941
"AT5G39410.1",0,0,0,0,0,0,-0.005,-0.006,0.785795,0.931485,1
"AT5G03460.1",2,0,0,2,0,0,-0.005,-0.0061,0.785803,0.931485,1
"AT1G31730.1",0,0,0,0,1,0,-0.006,-0.0061,0.785803,0.931485,1
"ATCG00820.1",2,4,6,2,8,2,-0.003,-0.0065,0.785839,0.931485,1
"AT3G16460.1",0,1,0,0,1,1,-0.006,-0.0067,0.785856,0.931485,1
"AT3G04840.1",17,12,15,10,14,21,0.014,0.0664,0.785873,0.943827,0.988579
"AT1G73650.1",0,0,0,0,1,0,-0.006,-0.007,0.785882,0.931485,1
"AT1G65010.1",0,1,0,1,0,0,0.058,0.0665,0.785882,0.943827,0.988579
"AT1G14980.1",3,2,2,2,3,2,-0.004,-0.0071,0.785892,0.931151,1
"AT5G58060.1",2,0,2,2,1,2,-0.005,-0.0071,0.785892,0.931151,1
"AT5G42890.1",0,0,0,0,0,0,0.056,0.0672,0.785945,0.943827,0.988579
"AT5G20950.1",0,1,0,1,0,0,-0.007,-0.0077,0.785948,0.931151,1
"AT2G30410.1",0,2,0,1,2,1,-0.006,-0.0078,0.785957,0.931151,1
"AT1G71180.1",0,0,0,0,0,0,-0.007,-0.0078,0.785957,0.931151,1
"AT5G48480.1",2,5,0,5,2,0,-0.004,-0.0079,0.785967,0.931151,1
"sum11",0,0,0,0,0,0,0.061,0.0681,0.786027,0.944215,0.98822
"AT3G54090.1",0,0,0,1,0,0,-0.007,-0.0086,0.786032,0.931151,1
"AT1G44790.1",0,0,0,0,0,0,-0.008,-0.0087,0.786041,0.931151,1
"AT3G11170.1",0,0,0,0,0,1,-0.008,-0.0094,0.786108,0.93082,1
"AT3G15690.2",1,0,0,0,0,0,0.062,0.0691,0.786123,0.944215,0.98822
"AT2G24020.1",9,10,11,11,8,10,-0.003,-0.0096,0.786128,0.93082,1
"AT3G28860.1",0,1,0,0,0,0,-0.008,-0.0096,0.786128,0.93082,1
"AT1G31860.1",1,3,2,2,2,2,0.042,0.0692,0.786132,0.944215,0.98822
"AT1G31800.1",2,6,1,1,4,4,-0.005,-0.0098,0.786147,0.93082,1
"AT2G14170.1",1,3,1,3,0,0,-0.007,-0.0099,0.786157,0.93082,1
"AT2G40380.1",0,0,2,2,0,1,-0.007,-0.01,0.786167,0.93082,1
"AT4G00660.1",1,0,0,1,0,0,-0.009,-0.01,0.786167,0.93082,1
"AT3G10220.1",0,0,0,0,0,0,-0.009,-0.01,0.786167,0.93082,1
"AT3G03890.1",0,0,0,0,0,0,0.062,0.0696,0.786171,0.944214,0.98822
"AT2G26140.1",0,0,0,0,0,0,-0.008,-0.0101,0.786177,0.93082,1
"AT3G25220.1",0,0,0,0,0,0,-0.009,-0.0102,0.786187,0.93082,1
"AT1G06000.1",0,4,2,0,0,5,-0.006,-0.0103,0.786197,0.93082,1
"ATCG00650.1",2,2,2,2,2,2,-0.006,-0.0104,0.786207,0.93082,1
"AT1G07110.1",0,1,0,0,1,0,-0.009,-0.0104,0.786207,0.93082,1
"AT4G27270.1",0,0,0,0,0,0,-0.01,-0.0106,0.786226,0.93082,1
"AT1G52340.1",0,0,0,0,0,0,-0.01,-0.0107,0.786236,0.93082,1
"AT3G05625.1",0,0,0,0,1,0,-0.01,-0.0109,0.786256,0.930819,1
"AT1G20816.1",0,1,1,0,0,0,-0.009,-0.0109,0.786256,0.930819,1
"AT3G05560.1",2,7,14,4,7,12,-0.003,-0.011,0.786266,0.930819,1
"AT1G01820.1",0,1,0,0,1,0,0.062,0.0709,0.786299,0.944603,0.987863
"AT5G23310.1",2,2,2,1,3,2,-0.007,-0.0114,0.786306,0.93049,1
"AT1G15290.1",0,1,0,0,1,0,-0.01,-0.0116,0.786327,0.93049,1
"AT3G07720.1",2,1,1,0,1,2,-0.009,-0.0118,0.786347,0.93049,1
"AT5G12110.1",0,0,0,0,0,0,-0.011,-0.0118,0.786347,0.93049,1
"AT2G42710.1",0,0,1,0,0,1,0.065,0.0714,0.786349,0.944603,0.987863
"AT5G43750.1",2,4,2,2,3,3,0.037,0.0717,0.786379,0.944603,0.987863
"AT3G19900.1",0,0,1,0,0,1,-0.011,-0.0122,0.786389,0.93049,1
"AT5G54750.1",0,1,0,0,0,0,0.065,0.0719,0.786399,0.944603,0.987863
"AT4G16500.1",0,0,0,0,0,0,-0.011,-0.0124,0.78641,0.93049,1
"AT1G67490.1",0,0,0,0,0,0,0.064,0.0724,0.78645,0.944993,0.987507
"AT2G02500.1",0,0,0,0,1,0,-0.012,-0.0128,0.786452,0.93049,1
"AT3G63190.1",16,16,11,11,18,15,0.016,0.0726,0.786471,0.944993,0.987507
"AT5G08160.1",1,0,0,0,0,0,-0.011,-0.013,0.786472,0.93049,1
"AT3G18000.1",0,0,0,0,0,0,-0.012,-0.0134,0.786514,0.93049,1
"AT3G47650.1",0,2,3,3,0,2,-0.008,-0.0135,0.786524,0.930162,1
"AT1G11890.1",0,0,1,0,0,1,-0.012,-0.0136,0.786535,0.930162,1
"AT4G00860.1",2,2,2,2,2,2,-0.008,-0.0137,0.786546,0.930162,1
"AT1G12780.1",0,1,0,0,1,1,-0.012,-0.0137,0.786546,0.930162,1
"AT1G54220.1",2,0,0,0,2,0,-0.01,-0.0137,0.786546,0.930162,1
"AT2G02390.1",0,0,0,0,0,0,-0.012,-0.0137,0.786546,0.930162,1
"AT4G07390.1",0,0,0,0,0,0,-0.013,-0.014,0.786579,0.930162,1
"AT1G41880.1",0,0,1,0,0,0,-0.013,-0.0145,0.786634,0.930162,1
"AT2G46650.1",0,3,0,2,2,0,-0.01,-0.0146,0.786645,0.930162,1
"AT2G47400.1",0,0,0,0,0,0,-0.013,-0.0146,0.786645,0.930162,1
"AT4G21110.1",0,2,0,0,2,0,-0.011,-0.0147,0.786656,0.930162,1
"AT5G41970.1",1,0,0,0,0,0,-0.013,-0.0148,0.786667,0.930162,1
"AT5G54500.1",10,9,6,10,9,6,-0.004,-0.0149,0.786678,0.930162,1
"AT4G35090.1",54,47,59,64,50,46,0.008,0.0747,0.786695,0.945384,0.987153
"sum100",14,33,22,22,24,23,0.013,0.0748,0.786706,0.945383,0.987153
"AT5G64440.1",0,0,0,0,0,0,-0.013,-0.0152,0.786711,0.930162,1
"AT3G55940.1",0,0,0,0,0,0,-0.013,-0.0152,0.786711,0.930162,1
"AT4G12590.1",0,1,1,0,0,0,-0.014,-0.0153,0.786722,0.930162,1
"AT5G51660.1",0,1,0,0,0,0,-0.014,-0.0153,0.786722,0.930162,1
"AT5G64580.1",0,1,0,0,0,0,-0.014,-0.0153,0.786722,0.930162,1
"AT1G29670.1",16,9,15,8,10,22,-0.004,-0.0162,0.786823,0.929836,1
"AT1G15390.1",0,0,1,1,0,0,-0.014,-0.0166,0.786869,0.929836,1
"AT1G21630.1",1,0,0,0,0,0,-0.015,-0.017,0.786915,0.929836,1
"AT4G14030.1",4,3,6,9,3,2,0.029,0.0771,0.786963,0.945775,0.986802
"AT3G06730.1",0,0,0,0,1,0,-0.016,-0.0175,0.786972,0.929836,1
"AT1G65540.1",0,0,0,0,1,0,-0.015,-0.0175,0.786972,0.929836,1
"AT1G60000.1",1,0,0,1,1,0,-0.016,-0.0178,0.787007,0.929513,1
"AT3G18080.1",0,1,0,0,1,0,-0.015,-0.0179,0.787019,0.929513,1
"AT3G54840.1",0,0,0,0,0,0,-0.016,-0.018,0.787031,0.929513,1
"AT3G46510.1",1,0,0,0,0,0,0.069,0.0779,0.787056,0.945775,0.986802
"AT2G25870.1",0,0,0,1,0,0,-0.017,-0.0184,0.787079,0.929513,1
"AT2G25840.1",0,0,1,0,0,0,-0.016,-0.0185,0.787091,0.929513,1
"AT4G20760.1",0,0,0,0,0,0,-0.016,-0.0186,0.787103,0.929513,1
"AT1G09490.1",0,0,1,0,0,0,-0.017,-0.0189,0.787139,0.929513,1
"AT5G07340.1",0,0,0,0,0,0,0.072,0.0788,0.787161,0.945775,0.986802
"AT1G49510.1",0,1,0,0,0,0,-0.017,-0.0192,0.787175,0.929513,1
"AT4G33670.1",5,2,4,1,1,0,-1.411,-2.1093,0.787188,0.999777,0.452527
"AT2G39940.1",0,2,0,0,2,0,-0.015,-0.0198,0.787247,0.929513,1
"AT2G32080.1",1,1,1,0,0,0,-0.018,-0.0205,0.787335,0.929191,1
"sum131",7,17,10,6,16,12,-0.005,-0.0206,0.787347,0.929191,1
"AT2G20860.1",0,1,0,0,0,0,-0.018,-0.0206,0.787347,0.929191,1
"AT4G38225.1",0,0,1,0,0,0,-0.018,-0.0209,0.787385,0.929191,1
"AT4G31390.1",1,4,3,3,3,2,-0.01,-0.0213,0.787435,0.929191,1
"AT4G13590.1",0,0,0,1,0,0,0.074,0.0815,0.787491,0.946561,0.986104
"AT2G01110.1",0,0,0,0,0,0,-0.02,-0.0218,0.787498,0.929191,1
"AT1G51160.1",0,0,0,0,1,0,-0.02,-0.022,0.787523,0.929191,1
"AT4G21960.1",1,1,0,0,0,0,0.072,0.0818,0.787529,0.946561,0.986104
"AT3G53110.1",2,6,0,5,2,2,-0.011,-0.0221,0.787536,0.928872,1
"AT3G01680.1",0,2,0,0,2,0,-0.016,-0.0222,0.787549,0.928872,1
"AT4G16370.1",0,4,0,0,4,0,-0.013,-0.0223,0.787562,0.928872,1
"ATCG00470.1",56,73,69,53,63,41,-0.235,-2.1088,0.787588,0.999777,0.452528
"AT4G29060.1",51,70,57,71,66,42,0.009,0.0823,0.787592,0.946561,0.986104
"AT2G24180.1",0,0,0,1,0,0,-0.021,-0.0228,0.787627,0.928871,1
"AT1G79440.1",4,8,3,5,5,5,-0.008,-0.0229,0.787641,0.928871,1
"AT5G25265.1",1,1,0,0,1,1,-0.021,-0.0231,0.787667,0.928871,1
"AT1G52190.1",0,0,0,0,0,0,-0.022,-0.0235,0.787719,0.928871,1
"AT5G07020.1",4,4,4,4,5,3,-0.01,-0.0243,0.787824,0.928554,1
"AT2G28800.1",0,0,1,0,0,1,-0.023,-0.0244,0.787838,0.928554,1
"AT5G43280.1",0,0,0,0,0,0,-0.021,-0.0245,0.787851,0.928554,1
"AT3G56630.1",0,0,0,0,1,0,-0.022,-0.0246,0.787865,0.928554,1
"AT4G34180.1",0,1,0,0,1,0,-0.022,-0.0252,0.787947,0.928554,1
"AT4G14090.1",1,0,0,1,0,0,-0.023,-0.0253,0.78796,0.928554,1
"AT2G20190.1",0,3,0,0,3,0,-0.018,-0.0257,0.788015,0.928554,1
"AT4G22930.1",3,2,1,1,3,2,-0.015,-0.0258,0.788028,0.928554,1
"AT3G59990.1",0,0,0,0,0,0,-0.023,-0.026,0.788055,0.928554,1
"AT4G21860.1",1,1,0,1,1,0,-0.022,-0.0262,0.788083,0.928554,1
"AT2G25800.1",0,0,0,0,1,0,-0.024,-0.0262,0.788083,0.928554,1
"AT3G57030.1",0,0,0,0,0,0,-0.024,-0.0265,0.788124,0.928238,1
"AT3G54640.1",7,8,7,8,4,10,-0.007,-0.0266,0.788138,0.928238,1
"sum97",2,0,0,0,2,0,0.07,0.0865,0.788145,0.947351,0.985415
"sum114",0,0,3,0,3,0,-0.018,-0.027,0.788195,0.928238,1
"AT3G17970.1",1,0,0,0,0,1,-0.023,-0.027,0.788195,0.928238,1
"AT3G18430.1",0,3,2,3,2,0,-0.017,-0.0271,0.788209,0.928238,1
"AT2G34470.1",0,3,2,2,3,0,-0.016,-0.0272,0.788224,0.928238,1
"AT4G26860.1",0,0,0,0,0,1,-0.023,-0.0272,0.788224,0.928238,1
"AT1G20050.1",0,0,0,0,0,0,-0.024,-0.0276,0.78828,0.928238,1
"AT2G35830.1",0,3,0,0,3,0,0.059,0.0877,0.78831,0.947747,0.985073
"AT4G29810.1",0,0,0,0,0,0,-0.025,-0.0281,0.788351,0.928238,1
"AT2G42610.1",0,0,0,1,0,0,-0.025,-0.0284,0.788393,0.928238,1
"AT2G37670.1",0,0,0,0,0,0,-0.025,-0.0284,0.788393,0.928238,1
"AT3G52180.1",0,0,0,0,0,1,-0.027,-0.0289,0.788466,0.927925,1
"AT3G02770.1",0,0,0,0,0,0,-0.025,-0.029,0.788481,0.927925,1
"AT3G55120.1",4,8,2,3,6,5,-0.011,-0.0303,0.788672,0.927925,1
"sum135",0,6,1,0,4,3,0.045,0.0903,0.788682,0.948144,0.984733
"AT5G08080.1",0,1,0,0,0,0,-0.027,-0.0308,0.788746,0.927614,1
"AT3G28930.1",1,1,0,0,0,0,-0.027,-0.031,0.788776,0.927614,1
"AT4G28660.1",0,0,0,0,0,0,-0.027,-0.0311,0.788792,0.927614,1
"AT1G08830.1",4,8,8,5,7,9,0.029,0.0912,0.788813,0.948144,0.984733
"AT1G30530.1",4,2,1,2,3,2,-0.017,-0.0319,0.788913,0.927614,1
"AT4G36760.1",1,7,3,4,5,2,-0.014,-0.032,0.788929,0.927614,1
"AT3G61820.1",0,2,1,2,0,0,-0.025,-0.0329,0.789066,0.927305,1
"AT3G16810.1",0,0,0,0,1,1,-0.029,-0.0329,0.789066,0.927305,1
"AT4G35800.1",0,0,0,0,0,0,-0.03,-0.033,0.789082,0.927305,1
"AT3G05420.1",0,1,0,1,0,0,-0.029,-0.0331,0.789098,0.927305,1
"AT3G22210.1",1,0,0,0,0,0,0.083,0.0934,0.789143,0.948542,0.984396
"sum68",0,0,0,0,0,0,-0.029,-0.0334,0.789145,0.927305,1
"AT5G11900.1",1,0,0,0,0,0,-0.03,-0.0336,0.789176,0.927305,1
"AT4G11980.1",0,0,0,0,0,0,-0.028,-0.0336,0.789176,0.927305,1
"AT5G22510.1",0,0,0,0,1,0,-0.029,-0.0344,0.789302,0.927305,1
"AT3G56110.1",0,0,1,0,0,0,-0.031,-0.0345,0.789318,0.927305,1
"AT2G04842.1",4,8,5,5,9,3,-0.012,-0.0346,0.789334,0.927305,1
"AT1G01090.1",2,19,11,7,12,14,0.024,0.0947,0.789344,0.948941,0.98406
"AT3G02950.1",0,0,0,0,1,0,0.082,0.0951,0.789407,0.948941,0.98406
"AT5G35570.1",0,0,0,0,0,0,-0.031,-0.0352,0.78943,0.926998,1
"sum103",0,0,3,3,0,0,-0.024,-0.0354,0.789462,0.926998,1
"AT3G13720.1",0,0,0,0,0,0,0.083,0.0961,0.789563,0.949341,0.983726
"AT5G20890.1",7,9,5,6,7,8,-0.011,-0.0362,0.789593,0.926998,1
"AT5G05740.1",0,1,2,0,2,0,-0.027,-0.0364,0.789625,0.926998,1
"AT4G24680.1",0,0,0,1,0,0,-0.034,-0.0365,0.789641,0.926998,1
"AT1G58270.1",0,1,0,0,0,0,-0.035,-0.0366,0.789658,0.926998,1
"AT5G53045.1",0,0,0,0,0,0,-0.031,-0.0366,0.789658,0.926998,1
"AT2G38740.1",0,0,0,0,0,0,-0.03,-0.0367,0.789674,0.926998,1
"AT1G14150.1",1,5,6,3,7,2,-0.015,-0.037,0.789722,0.926997,1
"AT1G31160.1",0,3,0,2,2,0,-0.023,-0.037,0.789722,0.926997,1
"sum31",8,14,8,12,11,6,-0.01,-0.0373,0.789773,0.926693,1
"AT2G41790.1",0,3,1,0,3,0,-0.025,-0.0375,0.789806,0.926693,1
"AT4G24550.1",0,0,0,0,0,1,-0.035,-0.0375,0.789806,0.926693,1
"AT2G38140.1",1,0,1,0,0,0,-0.032,-0.0375,0.789806,0.926693,1
"AT5G17170.1",15,12,12,14,13,12,-0.009,-0.0376,0.789823,0.926693,1
"AT4G04770.1",0,3,1,2,2,1,0.063,0.0978,0.789837,0.94934,0.983726
"AT1G06950.1",39,64,46,50,69,29,-0.004,-0.0383,0.789941,0.926693,1
"AT2G26250.1",0,0,0,1,0,0,-0.036,-0.0383,0.789941,0.926693,1
"AT1G47490.1",1,0,0,1,0,0,-0.033,-0.0384,0.789958,0.926693,1
"AT3G04880.1",1,2,2,2,2,1,-0.025,-0.0385,0.789975,0.926693,1
"AT1G04640.1",0,0,0,0,0,0,-0.035,-0.0387,0.790008,0.926693,1
"AT3G28715.1",0,0,0,0,0,0,-0.036,-0.0391,0.790075,0.926693,1
"AT5G62740.1",0,0,0,0,0,0,-0.033,-0.0391,0.790075,0.926693,1
"AT5G03040.1",0,1,0,0,0,0,-0.034,-0.0392,0.790092,0.926693,1
"AT5G14590.1",0,1,3,2,2,1,-0.025,-0.0399,0.790214,0.92639,1
"AT2G20760.1",3,0,0,3,0,0,-0.026,-0.0399,0.790214,0.92639,1
"sum121",0,0,0,0,0,1,0.089,0.1004,0.790268,0.950142,0.983065
"AT5G23940.1",1,0,2,0,0,2,-0.03,-0.0404,0.7903,0.92639,1
"AT3G04610.1",0,0,0,0,0,0,-0.036,-0.0407,0.790352,0.92639,1
"AT4G37210.1",1,0,0,0,0,0,-0.035,-0.0407,0.790352,0.92639,1
"AT4G32940.1",1,1,0,1,0,0,0.085,0.1014,0.790439,0.950141,0.983065
"AT5G11040.1",1,0,0,1,0,0,-0.037,-0.0414,0.790474,0.92609,1
"AT3G54600.1",0,0,0,0,1,0,-0.035,-0.0418,0.790545,0.92609,1
"AT1G76180.1",0,0,0,0,0,0,-0.037,-0.042,0.790581,0.92609,1
"sum8",0,4,0,0,4,0,-0.025,-0.0423,0.790635,0.92609,1
"AT5G01730.1",0,0,0,1,0,0,-0.037,-0.0423,0.790635,0.92609,1
"sum105",0,0,3,0,0,3,-0.029,-0.0427,0.790706,0.92609,1
"AT5G04440.1",0,0,0,0,0,1,-0.036,-0.0429,0.790742,0.92609,1
"AT2G16460.1",0,0,0,1,0,0,-0.036,-0.0429,0.790742,0.92609,1
"AT4G14430.1",0,0,1,0,1,0,-0.038,-0.0431,0.790778,0.92609,1
"AT1G24460.1",0,0,0,0,0,0,-0.037,-0.0432,0.790796,0.92609,1
"AT1G15930.1",6,7,5,7,7,4,-0.014,-0.0439,0.790923,0.925792,1
"AT3G25480.1",0,0,0,0,0,0,-0.041,-0.0439,0.790923,0.925792,1
"AT3G60830.1",0,0,0,0,0,0,-0.041,-0.0443,0.790997,0.925792,1
"AT1G05850.1",0,0,0,0,0,0,-0.04,-0.0445,0.791033,0.925792,1
"AT5G23890.1",6,12,4,11,11,0,0.032,0.1049,0.791052,0.950945,0.982412
"AT1G60420.1",1,0,0,1,0,0,-0.039,-0.0448,0.791089,0.925792,1
"AT4G30550.1",0,0,0,0,0,0,-0.04,-0.0457,0.791254,0.925496,1
"AT2G31810.1",0,1,0,0,1,0,-0.041,-0.046,0.791311,0.925496,1
"AT2G27450.1",0,0,0,0,1,0,-0.04,-0.0462,0.791349,0.925496,1
"AT5G54600.1",5,27,16,13,12,23,-0.01,-0.0467,0.791444,0.925496,1
"AT3G49870.1",4,7,6,5,5,7,-0.016,-0.0468,0.791463,0.925496,1
"AT1G48420.1",0,1,1,0,0,0,-0.042,-0.0484,0.791769,0.925202,1
"AT4G32590.1",0,0,0,0,0,0,-0.045,-0.0496,0.792002,0.925202,1
