"Protein","rep1-triple","rep2-triple","rep3-triple","rep1-wt","rep2-wt","rep3-wt","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown"
"AT1G80380.2",23,24,18,12,19,10,-0.47,-2.3696,0.590871,0.994288,0.345865
"AT5G62720.1",1,1,4,6,5,7,1.133,2.3793,0.594036,0.172252,0.994824
"AT3G63520.1",5,13,2,4,0,2,-1.079,-2.36,0.597462,0.994544,0.34981
"AT5G19940.1",10,16,13,6,6,9,-0.64,-2.354,0.601616,0.994698,0.352195
"AT3G42050.1",2,16,1,1,3,3,-1.071,-2.3476,0.606076,0.99485,0.354593
"AT2G36460.1",22,14,9,8,11,6,-0.579,-2.3454,0.607616,0.994901,0.355396
"AT3G03710.1",5,16,5,6,4,0,-0.884,-2.3429,0.609369,0.994952,0.3562
"ATCG00130.1",51,65,50,71,67,75,0.25,2.3582,0.612029,0.179886,0.995048
"AT3G04550.1",4,19,8,7,5,4,-0.689,-2.3384,0.612537,0.995053,0.357812
"AT1G19670.1",4,9,4,0,2,3,-1.102,-2.3364,0.61395,0.995104,0.35862
"AT1G02080.1",0,3,0,6,9,1,1.238,2.3467,0.622009,0.184583,0.995181
"AT5G55220.1",26,28,31,20,15,22,-0.402,-2.3226,0.623769,0.995405,0.363502
"AT3G48560.1",3,22,3,2,1,10,-0.809,-2.3121,0.631321,0.995653,0.367608
"AT5G09590.1",11,19,17,3,13,11,-0.521,-2.3058,0.635886,0.995802,0.370089
"AT4G22890.1",17,18,24,21,34,31,0.39,2.3307,0.636093,0.19017,0.995332
"AT5G23010.1",13,9,6,4,6,3,-0.793,-2.3037,0.637413,0.995851,0.370919
"AT4G23600.1",15,25,18,6,14,17,-0.47,-2.294,0.644498,0.996095,0.375091
"AT5G06600.1",1,1,0,6,7,0,1.505,2.3211,0.644653,0.193414,0.995418
"AT3G62120.1",15,23,18,14,3,17,-0.513,-2.2919,0.646039,0.996144,0.37593
"AT2G35490.1",7,13,7,2,4,6,-0.832,-2.2893,0.647951,0.996192,0.376771
"AT4G17830.1",0,9,2,0,0,0,-1.549,-2.2805,0.654448,0.996385,0.380147
"AT3G27925.1",10,6,10,3,4,5,-0.789,-2.2779,0.656375,0.996433,0.380996
"AT2G28000.1",108,171,182,105,120,168,-0.162,-2.2764,0.657489,0.996481,0.381844
"AT3G49010.1",4,7,13,8,21,14,0.609,2.2995,0.664201,0.202546,0.995647
"AT4G24620.1",27,25,21,22,11,15,-0.426,-2.2419,0.68341,0.997231,0.395632
"AT1G72150.1",16,51,18,19,28,11,-0.387,-2.2403,0.684626,0.997277,0.396505
"AT2G27530.1",9,19,8,15,26,18,0.49,2.2669,0.694418,0.215478,0.995946
"ATCG00670.1",18,15,19,8,10,13,-0.513,-2.2265,0.695156,0.997549,0.401782
"AT5G40810.1",6,3,5,1,2,0,-1.312,-2.2179,0.701757,0.997727,0.405328
"AT2G02560.1",0,3,0,5,9,0,1.152,2.2573,0.703469,0.21902,0.996023
"AT2G24270.1",33,27,30,24,19,19,-0.376,-2.2076,0.709701,0.997947,0.409792
"AT1G26630.1",8,46,30,13,33,12,-0.378,-2.2004,0.715277,0.998078,0.41249
"AT2G01140.1",10,4,8,2,5,3,-0.805,-2.1972,0.717761,0.998164,0.414293
"AT3G52880.1",28,37,33,27,25,17,-0.35,-2.1963,0.71846,0.998164,0.414294
"AT4G38220.1",6,13,4,3,4,3,-0.868,-2.1935,0.720638,0.998207,0.415201
"AT3G09630.1",6,12,6,1,4,6,-0.808,-2.193,0.721027,0.998249,0.416103
"AT2G45740.1",0,6,3,1,12,9,0.869,2.237,0.722816,0.228057,0.996209
"AT1G10760.1",26,39,33,49,55,28,0.295,2.2343,0.725409,0.228974,0.996227
"AT3G08590.1",22,42,40,29,11,35,-0.326,-2.1725,0.737051,0.998626,0.424323
