"","wt-rep1","wt-rep2","wt-rep3","p1xp2-rep1","p1xp2-rep2","p1xp2-rep3"
"wt-rep1",1,0.975999941850234,0.963298808886955,0.981965355544901,0.972750540180572,0.964144214522909
"wt-rep2",0.975999941850234,1,0.982068226061185,0.977591253756159,0.990902518426027,0.981336872528244
"wt-rep3",0.963298808886955,0.982068226061185,1,0.968727063368567,0.988817734761982,0.984670820382617
"p1xp2-rep1",0.981965355544901,0.977591253756159,0.968727063368567,1,0.981336048555673,0.979308757084088
"p1xp2-rep2",0.972750540180572,0.990902518426027,0.988817734761982,0.981336048555673,1,0.987350385772238
"p1xp2-rep3",0.964144214522909,0.981336872528244,0.984670820382617,0.979308757084088,0.987350385772238,1
