"","Comp.1","Comp.2"
"wt-rep1",-0.379189858548741,0.697822553999618
"wt-rep2",-0.439694062653169,0.00338718765770084
"wt-rep3",-0.434380484733852,-0.478349679156094
"p1xp2-rep1",-0.366648905014807,0.391478474679359
"p1xp2-rep2",-0.380735408959895,-0.14659825376461
"p1xp2-rep3",-0.441369352967903,-0.330858505099041
