Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT2G30490.1	2	4	2	2	2	3
AT5G14030.1	2	2	2	4	3	2
AT1G34130.1	0	0	0	0	1	1
AT3G55440.1	29.5	32	22.5	55.7	50.8	60
AT3G62120.1	6	3	4	8	8	11
AT5G06060.1	7	6	5	9.5	9.5	11.5
AT5G44340.1	5.7	7.4	8.4	5.5	0	7.3
AT1G20010.1	17.1	14.8	7.8	12.5	15.9	14.8
AT5G61780.1	19.3	16.9	21.4	10.7	16.5	12.8
AT5G07350.1	16.7	24.1	22.6	13.3	16.5	21.3
AT2G30110.1	41.9	42	24	33	43	32
AT1G43690.1	0	0	0	0	0	2
AT5G17310.2	6	7.3	8.6	4	5	11
AT3G03250.1	4	12.7	10.4	10	10	22
AT3G53990.1	0	2	0	2	0	1
AT2G30930.1	2	0	1	0	0	0
AT3G49720.1	8	5	9	5	6	12
AT5G01750.2	2	1	3	2	0	1
AT5G02240.1	2	1	0	1	4	7
AT1G64790.1	27	22	15	20	23	45
AT5G19860.1	1	2	2	1	0	3
AT3G08030.1	7	0	1	2	3	4
AT5G48480.1	2	0	2	2	2	0
AT3G63460.1	28	19	16	14	21	25
AT5G17020.1	5	6	7	5	1	10
AT4G37800.1	0	0	0	0	1	3
AT5G57655.2	2	2	1	2	2	2
AT1G33590.1	2	1	1	6	5	12
AT1G68560.1	3	7	3	3	2	5
AT1G03220.1	4	2	2	2	2	6.7
AT1G76160.1	4	4.7	6	6	6	5.5
AT1G71695.1	5	4	0	5	4	4
AT3G49120.1	0	1	0	1	1	4
sum56	12.2	14.4	10.2	12	14.4	16
AT2G41740.1	13.6	13.8	14.6	1.4	5.6	2
AT3G57410.1	12.5	7.7	9.4	5.6	2.9	0
AT5G55230.1	5	4	1	0	0	0
AT4G14960.2	0	0	9.9	2.3	7.2	15.7
AT2G06850.1	4	3	2	3	3	2
sum101	34	35	24	25	31	46
sum12	8.1	9.9	9.9	8.1	12	8.1
sum15	0	16	19	14	18.4	23
sum17	5.1	3.9	3.9	8.8	5.1	12.9
sum19	6	3.9	0	5.4	5.4	6
sum23	2	1	6	2	5	6
sum25	6	3	6	4	7	6
sum26	4	5	6	4	3	6
sum27	5	0	2	4	3.4	2.6
sum30	4	4	0	2	5	4
sum31	6	6	5	8	7	4
sum32	5	4	5	2	4	5
sum34	0	0	0	2	4	3
sum36	0	0	0	0	3	4
sum39	0	1	0	0	0	4
sum4	11	14	9	9	11.1	18
sum48	3	0	3	4	4	5
sum49	5	4	5	0	0	4
sum50	0	4	0	0	0	0
sum6	6.3	5	3.9	14.9	11.6	20.1
sum60	2	5	0	3	3	6
sum64	16	19	13	22	16.9	34.9
sum65	10.2	11.8	13.8	5.6	9.8	11.6
sum68	4	3	2	0	3	2
sum72	13	22	13	22	20	18
sum77	17	15	9	16	24	32
sum8	3.2	5.2	7.2	5.2	4	7.2
sum84	56	62	40	72	66	110
AT5G35590.1	0	1.5	2.5	5.4	6.4	11.4
AT2G05840.1	5	1.5	2.5	3.6	8.6	5.6
AT3G22110.1	4	5	2	6	5	6
AT3G51260.1	3	0	2	2	0	2
AT1G53850.1	0	0	0	0	0	2
AT5G42790.1	3	0	0	5	5.3	6
AT2G27020.1	0	0	0	2	1	3
AT4G31300.1	4	2	0	5	4	4
AT3G27430.2	1	0	0	0	0	5
AT1G21720.1	2	0	0	0	0	1
AT1G13060.1	0	3	0	0	0	0
AT3G60820.1	5	2	5	6	7	3
AT1G56450.1	6	5	2	4	8	9
AT5G43010.1	0	0	0	0	2	0
AT3G05530.1	0	0	0	0	0	2.7
AT1G45000.2	0	0	2	0	0	0
AT5G57950.1	4	1	0	2	3	4
AT5G23540.1	4	4	3	2	4	11
AT1G64520.1	0	0	0	0	1	5
AT2G20580.1	24	20	17	20	26	38
AT4G28470.1	0	0	2	0	1	0
AT2G32730.1	27.5	20.8	12	15	35	30.2
AT1G04810.1	4.5	5.2	0	0	0	3.8
AT5G09900.1	2	3	0	0	2	0
AT1G29150.1	1	1	0	0	0	1
AT4G24820.1	2	3	2	3	4	5
AT5G45620.1	0	1	2	0	0	4
AT1G20200.1	0	0	0	1	1	1
AT3G11940.1	8	8	3.2	9.8	5	8
AT5G41520.1	0	0	2	0	2	2
AT1G15930.1	2	2	1	5.3	4	3
AT2G32060.1	0	1	0	2.7	1	1
AT2G36160.1	6.5	0	2.8	1	0	4.8
AT3G11510.1	6.5	9	5.5	5	6	5.8
AT3G52580.1	0	0	2.8	0	0	2.4
AT2G09990.1	2	0	0	0	3.3	0
AT5G18380.1	2	4	4	5	6.7	5
AT3G47370.1	0	0	2	2	0	0
AT3G04920.1	3	5	4.8	4	2.8	4.2
AT5G28060.1	3	5	3.2	2	4.2	2.8
AT4G39200.1	0	0	0	0	0	2
AT2G31610.1	1.3	0	11.3	7	2	19
AT3G53870.1	12.1	22	0	7	20	5
AT5G35530.1	8.5	0	3.8	0	0	0
AT3G04840.1	7.3	7.1	8.2	8	8.8	10.1
AT4G34670.1	3.7	5.9	6.8	0	6.3	8.9
AT2G37270.1	8	6	4.8	3.3	6	8
AT4G31700.1	8.7	10.4	9	8	6.5	6
AT5G10360.1	4.3	2.6	0	0	6.5	6
AT1G48830.1	5	7	4	4	2	7
AT3G02560.1	0	2	1	3	1	4
AT5G20290.1	19	19	16	17	15	27
AT5G15200.1	11	11	10	6	11	18
AT1G72370.1	19	15	14	17	20	22
AT3G48930.1	0	3	0	0	0	0
AT5G17920.1	226.5	245.8	194.8	231.3	219.3	323.2
AT1G01100.1	1	1	4	3	2.3	4
AT4G00810.1	0	0	0	1	0	1
AT5G47700.1	0	0	0	0	4.7	2
AT2G27720.1	4	2.7	2	0	0	5
AT2G27530.1	10	11	2	4	3.5	10
AT5G22440.1	0	0	2	0	3.5	0
AT5G45775.1	2	0	7	1.8	1.8	2
AT3G53430.1	7	6	7	6	7	8
AT3G49010.1	13.6	12.4	11.6	13	12.3	13.6
AT5G23900.1	3.4	1.6	1.4	0	3.7	4.4
AT3G07110.1	0	0	0	2	2	0
AT3G24830.1	4	3	4	6	2	4
AT4G13170.1	3	2	2	0	2	0
AT2G20450.1	5	6	7	7	4.7	7
AT4G27090.1	0	0	0	0	2.3	0
AT5G27850.1	2	5	5	3	5	1.5
AT2G34480.1	6	6	6	4	7	5
AT1G02780.1	3	2	0	3	5	5
AT4G02230.1	2	0	0	0	0	2
AT5G27770.1	2.7	1.7	4.2	2.4	3.5	0
AT3G05560.1	5.3	3.3	2.8	3.6	3.5	4
AT3G49910.1	8	3	4	2	5	5
AT4G15000.1	7	7	5	1.5	3	5
AT2G19730.1	0	2	2	0	0	4
AT4G29410.1	0	2	0	0	3	0
AT1G43170.1	46	30	23	25	41	51
AT1G77940.1	0	4	1	0	1.7	1.3
AT4G18100.1	2	2	2	2	3	3.6
AT5G46430.1	0	0	3	0	0	2.4
AT1G26880.1	0	0	0	2	0	3
AT3G28900.1	0	0	0	2	0	1
AT3G09500.1	2	2	0	0	2	0
AT3G55170.1	0	0	0	2	0	0
AT5G02870.1	8	7.7	5	4	6	4
AT3G25520.1	8	7	8.5	7	5.5	14
AT5G39740.1	4	6	1.5	6	12.5	14
AT1G18540.1	9.8	7.2	8.2	4.3	7.1	7.4
AT2G01250.1	5.3	10.6	4.4	6	8.1	7.1
AT2G44120.2	6	8.4	6.6	3.5	6.7	8.8
AT3G13580.1	2.7	0	0	3.5	3.2	3.1
AT2G47610.1	11.4	9.5	7	3.5	7.1	11.1
AT3G62870.1	7.6	9.5	7	10.5	11.9	8.9
AT2G18020.1	13.4	10.2	8.8	7.6	16.5	15
AT4G36130.1	6.6	2.8	2.2	5.4	6.5	6
AT3G02360.1	0	0	0	0	0	3.7
AT3G63520.1	2	2	0	2	3	7
AT5G48230.2	2	4	2	5	6	8
AT1G36160.1	25	20	9	25.2	20.5	28.1
AT3G06650.1	12.8	16	14	6.9	10	13
AT4G35830.1	32.3	33.4	30.9	33.5	28.3	41.4
AT2G05710.1	19.4	12.9	12.8	16.2	25.1	38
AT1G31812.1	1	2	0	1	0	2
AT1G27450.1	1	10	8	11	10	10
AT1G48410.1	7	8	2	3	5	5
AT2G36460.1	12	10.2	9.1	10.1	4.7	8.5
AT1G35720.1	6	5	1	2	2	6
AT5G65020.1	0	2	0	0	2	2
AT5G19550.1	4.5	3.4	2	2	3.4	5.6
AT5G49460.1	4.3	4	8	5.1	5	10
AT1G09430.1	0	0	0	2	0	2
AT2G39460.1	0	2	3	0	0	0
AT1G19670.1	0	1	0	0	1	0
AT1G62390.1	2	2	2	3	3	3
AT1G74310.1	0	0	0	4.2	3.2	0
AT1G66240.1	3	3	2	1	3	2
AT4G14880.1	23	25	29	38	48	65
AT1G75270.1	0	0	0	0	1	1
AT3G55610.1	3.4	1.7	0	2	0	7.3
AT1G09640.1	7	7	4.5	2.7	3.1	2.9
AT1G04170.1	0	0	0	1	1	0
AT3G52930.1	21.4	24.8	13.6	18.5	22.4	25.4
AT4G26530.1	15.2	17.8	9.3	11.5	6.8	22
AT2G26990.1	0	0	2	0	0	1
AT1G78380.1	12	11	8	6	10	17
AT2G30870.1	14	9	9	8	11	13
AT5G02790.1	3	1	1	4	5	5
AT3G25530.1	16	15	15	18	20	20
AT3G46970.1	32	38	31	32	36	42
AT2G19860.1	1	2	3	2	1	3.6
AT1G12270.1	1	1	2	1	2	2
AT5G56030.1	68	65	68	96.9	110.8	120.6
AT3G16420.1	0	4	0	0	1	4
AT1G07890.1	17	12	12	19	25	22
AT1G09620.1	37	31	23	36	52	42
AT5G10540.1	0	0	0	0	0	7.3
AT3G03780.1	33.5	46.2	43.3	46.7	48.7	68.8
AT4G13780.1	2	2	0	0	3	2
AT1G65930.1	11	10	8	5	6	11
AT3G61220.1	1	4	3	3	6	5
AT1G79870.1	4	5	4	3	6	6
AT5G11670.1	27	23	25	24	26	26
AT2G24270.4	20	20	24	35	28	35
AT2G19480.1	2	1	2	3	2	0
AT2G38230.1	11.1	12.1	12.7	12.9	13	24.1
AT5G01410.1	6.9	10.9	6.3	8.1	13	10.9
AT4G38740.1	1	2	0	1	2	3
AT1G23190.1	22.6	23.2	16.5	18.8	23.6	26.5
AT1G09780.1	8.6	11.7	7.4	3.8	12	21.5
AT2G19760.1	5	4	3	4	3	5
AT5G08570.1	0	0	2	0	0	0
AT2G42910.1	1	1	0	1	0	3
AT1G69620.1	3	2	2	0	0	0
AT5G23740.1	3	0	6	8	4	9
AT3G02530.1	7	8	1	0	6	10
AT5G42980.1	8	7	8	7	6	10
AT2G40840.1	12	10	2	5	7	6
AT5G12250.1	5.5	3.2	0	0	2.8	9.7
AT5G49650.1	3	2	0	1	2	4
AT1G52400.1	0	0	2	0	1	1
AT4G23630.1	0	4	0	0	0	5
AT5G61790.1	7	7	7	8	9	8
AT1G56340.1	4	6	4	2	3	2
AT3G19820.1	26	20	14	11	13	26
AT4G24190.1	44.4	43.9	31.7	33.6	39.4	44.6
AT5G28540.1	13.4	10.3	11.1	22.1	16.9	14.3
AT5G42020.1	13.4	17.3	11.1	0	5.6	11.4
AT1G21750.1	10	11	8	9	10	14
AT4G29350.1	5	3	4	5	4	6
AT5G60640.1	3	7	2	2	5	7
AT1G56330.1	3	4	8	6	7.5	4
AT1G72610.1	0	0	0	0	0	3
AT5G20630.1	5	5	9	7	9	9
AT1G41830.1	4	2.3	0	0	0	5.5
sum2	10.2	10.8	10.2	16.2	18	16.8
AT1G30630.1	0	0	0	0	1	2
AT3G02230.1	0	1	0	0	1	1
AT3G07100.1	12	11	4	2	4	8
sum53	8	5	3	2	6	13
sum105	99.2	107.3	78.7	125.8	146.4	184.3
sum10	117.6	110	87.2	117.6	146.4	180
sum14	9.9	12	3.9	8.1	13.2	18.9
sum3	6	0	4.8	0	3.6	8
AT5G65430.1	14.1	12.5	12.3	15.2	7.1	13.9
AT5G10450.3	8.6	11.8	4.3	3.2	11.6	13.9
AT1G78300.1	11.7	6.1	7.4	11.2	12.3	9.9
AT1G35160.1	0	0	1.8	0	0.9	7.4
AT2G13540.1	1	1	4	4	2	3
AT4G35450.1	1	0	0	0	0	2
AT1G08980.1	2	1	3	2	2	3
AT1G20960.1	23	8	5	10	16	14
AT3G55120.1	0	0	0	0	0	2
AT3G53110.1	2	1	0	0	0	0
AT3G23600.1	3	4	1	2	4	5
AT3G13460.4	4	3	0	0	0	0
AT3G57290.1	3	2	0	0	0	2
AT2G36530.1	17	22	16	21	21	39
AT2G39990.1	7	5	6	10	11	15
AT5G57870.1	8	10	6	5	11	7
AT5G52470.1	0	1	1	2	3	5
AT1G27090.1	0	0	0	0	1	1
AT2G21660.1	3	3	2.8	4.2	2.5	2.5
AT4G39260.1	3	3	4.2	2.8	2.5	2.5
AT1G52740.1	0	0	0	0	0	3.3
AT5G59870.1	0	3	3	0	6	1.7
AT5G02570.1	1	1	0	0	0.6	0
AT5G16970.1	0	0	0	0	0	2
AT3G44310.1	25	24	17	35	35	31
AT1G56110.1	5	4	3	7	7	8
AT1G27970.1	3	1	5	0	3	3
AT5G40480.1	15	5	0	6	13	11
AT1G14850.1	2	0	0	0	0	1
AT5G51200.1	0	1	1	0	0	0
AT1G79280.2	6	2	0	1	3	3
AT5G54160.1	2	1	2	1	2	2
AT3G63130.1	0	1	0	0	1	0
AT4G17530.1	5.2	4.7	6	3.8	8	0
AT2G31660.1	1	1.7	1.5	2	0	2.3
AT4G11260.1	0	1	3	0	2	0
AT5G15970.1	2	3	0	1	0	0
AT3G20050.1	14	10	9	11	9	10
AT4G20890.1	6.1	7.8	0	0	0	0
sum102	40	37	43	43	39	67
AT3G16910.1	3	6	0	0	2	1
AT4G16760.1	2	2	0	1	2	6
AT2G13360.1	33	30	29	47	31	54
AT3G48170.1	2	2	2	3	3	4
AT4G35090.1	43.8	39.7	21.4	47.1	41.2	64.8
AT1G20620.1	25.2	15.3	7.6	19.9	33.8	32.2
AT2G42790.1	0	0	0	0	0	2
AT1G76180.1	4	4	0	0	2	0
AT1G19570.1	3	2	0	11	6	4
AT4G29010.1	8	5	4	5	6	15
AT4G14430.1	0	0	0	3	0	0
AT3G14415.1	48.1	44.9	34.2	34.2	32.9	47.5
AT1G11840.1	9.6	8	0	9	11.1	14.1
AT1G68010.1	33	29	27	34	29	51
AT3G16460.1	0	2	0	0	0	0
AT5G47040.1	0	0	2	0	1	0
AT5G09660.2	52	46	38	45	45	60
AT3G06860.1	3	5	1	4	5	8
AT3G52880.1	32	22	20	48	51	57
AT4G09320.1	7	8	9	7	11	10
AT3G56460.1	1	0	1	1	5	8
AT2G41790.1	1	0	0	1	1	5
AT4G35000.1	6	4	6	7	10	8
AT2G45740.1	1	0	1	3	1	2
AT2G22780.1	2	3	0	1	3	1
AT3G12800.1	0	1	0	2	5	6
AT2G47470.1	5	2	1	2	3	5
AT3G02770.1	0	2	0	1	1	1
sum41	0	0	3	2	0	4
sum45	32	29	23	37	49	60
sum66	102	96.8	98.8	72.4	74.8	103.2
sum79	2.8	3.4	3.2	4.5	11.1	11
sum9	5.2	6	2	1	1	5.2
AT5G38480.1	14.9	18.3	12.7	18.9	28.2	27.6
AT3G10740.1	2	0	2	2	2	5
AT2G45960.1	38.9	37.2	53.3	24.5	29.5	42.8
AT3G53420.1	30	27	24	16	19	22
AT3G07160.1	17.4	7.2	6.1	10.3	9.7	13.5
AT3G28860.1	2	1	0	0	0	0
AT5G57350.1	19.6	15.8	3.1	10.8	13.7	21.5
AT3G24550.1	2	3	1	0	0	0
AT3G07390.1	7	10	13	5	8	11
AT4G23460.1	3	4.5	10.3	1	7	2
AT5G57110.1	5	0	0	0	0	1
AT5G05010.1	7	4	7	16	9	10
AT1G62020.1	1.5	5.2	3.7	1.8	4.6	5.7
AT4G36760.1	1	2	1	2	2	4
AT5G52240.1	0	0	0	0	2	0
AT2G45820.1	0	0	0	0	0	2
AT4G20260.1	5	4	2	0	4	4
AT2G45470.1	32	32	32	25	34	44
AT5G55730.1	4	3	4	3	1	4
AT4G12730.1	3	1	1	0	0	0
AT2G31960.1	10	3	0	0	0	3
AT5G55480.1	18	17	10	8	10	11
AT1G66970.1	41.8	46.3	33.8	23.1	18.8	25.3
AT4G02080.1	3	8	2	2	2.5	8
AT1G08420.1	0	0	0	0	0	3
AT5G10470.2	5	5	6	6	5	5
AT2G44060.1	0	0	0	1	0	1
AT3G14840.2	1	0	0	0	1	0
AT4G08850.1	1	2	2	0	0	0
AT5G16590.1	0	2	0	2	0	1
AT3G02880.1	3	2	4	0	0	2
AT2G01210.1	5	3	6	8	8	8
AT1G27950.1	4	4	2	4	3	3
AT2G38540.1	2	3	2	1	4	2
AT4G33090.1	24	19	17	19	33	31
AT4G26690.1	23.2	17.7	19.2	14.9	16.2	18.7
AT4G12420.1	11	8	7	8	9	9
AT1G59870.1	70	56	56	32	31	63
AT4G34870.1	5	4	4	6	4	4
AT3G45780.1	29.8	30.1	18.3	13.1	30.9	19.7
AT5G58140.1	9.2	14.9	11.7	11.9	9.1	8.3
AT4G35100.1	49	49	41	23	43	38
AT1G42550.1	16	10	4	3	5	7
AT5G15650.1	0	2	0	0	1	4
AT1G30690.1	6	2	3	4	3	5
AT1G22710.1	1	0	0	2	0	0
AT1G21880.1	0	0	1	0	0	1
AT4G15630.1	1	0	1	0	0	1
AT1G01620.2	1.4	2.3	3.6	5.1	10.4	3.2
AT1G70410.2	13	10	7	9	6	8
sum44	40.4	36.6	39	34	38.8	42.8
sum5	4.8	8	7	3	1.7	5.8
sum57	28.1	16.2	14.3	13.4	15.2	13
AT1G11910.1	5	4	7	4	5	5
AT5G49720.1	0	0	0	0	0	2
AT1G78900.1	72	83	62	65	68	88
AT4G03560.1	4	3	1	3	1	4
AT2G41560.1	9	11	11	9	5	8
AT5G60360.1	0	0	0	2	0	0
AT1G47128.1	0	5	1	0	2	6
AT3G57330.1	1	2	0	0	0	0
AT3G10410.1	0	0	1	0	1	1
AT1G53210.1	2	1	3	0	1	8
AT1G69840.1	2	2	0	0	0	0
AT4G32150.1	2	0	0	1	0	0
AT5G46860.1	1	1	1	1	2	2
AT5G22580.1	2	3	2	2	3	3
AT3G28710.1	0	0	0	3	0	0
AT1G12840.1	16	10	9	10	9	11
AT3G58730.1	2	2	2	0	0	3
AT1G15690.1	72	61	55	73	84	116
AT3G16240.1	71	73	69	66	63	71
AT2G36830.1	4	12	5	7	7	8
AT3G26520.1	20	14	22	21	22	23
AT2G20230.1	4	6	2	2	2	4
AT2G34585.1	0	1	0	0	2	0
AT4G02620.1	4	7	2	3	2	6
AT4G11150.1	13	7	7	3	7	12
AT4G39080.1	35	33	24	27	31	36
AT5G23040.1	2	4	4	2	3	3
AT4G37270.1	2	2	0	0	0	0
AT1G79560.1	3	7	2	2	6	14
AT4G00630.1	10	1.8	1.8	2	0	2
AT3G51870.1	0	0	0	2	1	2
AT5G01590.1	2	2	0	0	0	3
AT2G44640.1	0	0	0	1	1	4
AT5G02940.1	3	0	0	0	2	0
AT5G17670.1	1	1	0	0	0	1
AT5G24690.1	4	3	3	3	0	6
AT3G51140.1	2	1	2	3	2	1
AT3G11560.2	0	1	0	1	0	3
AT5G42480.1	1	1	0	0	0	2
AT4G33520.2	0	0	1	0	2	2
AT3G20320.1	4	3	0	0	0	1
AT5G08540.1	1	2	0	0	1	0
AT5G12860.1	5	1	1	2	1	1
AT5G64290.1	0	0	0	0	1	1
AT4G25450.1	8	9	4	5	4	9
AT5G64940.1	3	0	2	1	1	7
AT4G00370.1	0	2	1	1	2	3
AT1G15500.1	3	3	0	26	29.6	45.2
AT1G80300.1	0	0	1	3	2.4	6.8
AT2G26900.1	3	5	0	4	6	15
AT1G32080.1	21	30	11	20	28	33
AT5G23890.1	8	7	5	10	12	10
AT5G54800.1	1	0	0	0	0	1
AT3G49560.1	0	1	2	4	4	2
AT5G24650.1	0	0	0	2	0	1
AT5G62720.1	0	2	0	0	2	3
AT5G16150.1	7	2	3	4	5	14
AT1G01790.1	32	35.3	28.3	22	29	27
AT5G12470.1	14	12	10	2	2	7
AT3G26570.1	2	3	2	3	4	3
AT5G33320.1	16	16	14	10	19	18
AT2G38550.1	0	2	0	1	0	4
AT4G39460.1	1	0	3	4	5	4
AT1G06950.1	80	100	73	98	140	148
AT2G47840.1	9	8	6	10	16	19
AT5G55710.1	2	4	2	0	2	2
AT2G24820.1	4	4	4	5	4	5
AT5G46110.3	81	67	31	51	71	89
AT3G63410.1	5	8	5	5	5	9
AT1G08640.1	2	3	6	5	4	7
ATCG01130.1	57	48	37	47	54	67
sum33	4.6	9	0	5	5.6	15.4
AT5G35360.1	14	10	13	19	18	23
AT2G38040.1	19	14	8	3	4	2
AT2G21280.1	0	0	0	0	2	1
AT1G34430.1	5.8	5.1	2.4	2.4	2.8	6
AT4G14070.1	3	2	1	0	0	1
AT1G01090.1	4	7	3	10	11	9
AT4G33350.1	0	0	0	2	1	1
AT2G28900.1	5	4	2	4	5	8
AT3G25690.1	1	1	0	0	0	0
AT1G77590.1	6	6	5	6	6	11
AT5G42960.1	0	0	0	0	2	0
AT2G43950.1	1	1	0	0	0	2
AT3G46740.1	17	16	13	15	14	17
AT4G02510.1	26	21	14	30	32	37
AT1G02280.1	5	6	6	7	13	10
AT5G05000.1	1	2	1	2	2	4
AT5G19620.1	2	0	1	2	2	1
sum54	28.8	27.6	19.8	36.6	17.6	17.6
sum63	1	0	0	1	0	3
AT4G39980.1	0	0	0	1	0	2.7
AT4G33510.1	0	0	0	1	5	9.6
AT2G44050.1	2	2	0	2	2	2
AT2G31810.1	0	1	0	5	1	8
AT1G36180.1	0	0	0	8.8	7.5	12.9
AT1G54630.1	2	2	1	3	7	3
AT1G54580.1	1	3	0	0	3	1
AT5G53580.1	2	2	2	1	4	2
AT3G10350.1	1	1	0	1	2	2
AT5G10920.1	1	0	0	0	0	3
AT1G23180.1	1	1	0	2	4	3
AT2G22250.2	2	2	0	0	0	3
AT5G11520.1	0	0	0	0	0	2.2
AT4G04770.1	0	0	0	0	3	3
AT1G19740.1	0	0	0	0	3	3
AT2G22230.1	2	0	0	3	3	0
AT3G57180.1	0	0	0	4	8	7
AT2G20020.1	0	0	0	1	2	4
AT1G09750.1	4	4	4	4	3	3
AT1G26230.2	2	0	0	0	2	2
AT3G57050.1	2	2	0	2	5	1
AT1G31800.1	2	2	1	5	7	8
AT4G34200.1	17.5	20	13	16	13.8	21
AT1G59990.1	2	1	2	2	1	1
AT3G17810.1	0	0	0	2	2	0
AT5G64860.1	1	0	0	1	1	0
AT1G53280.1	0	3	3	0	0	5
AT3G25860.1	9.2	12.9	8.6	10.6	11.2	12
AT4G16155.1	3	3	2	3	4	5
AT3G12080.1	0	0	0	2	0	2
AT4G14890.1	0	0	0	2	0	1
AT2G30390.1	0	0	0	0	2	1
AT3G16290.1	0	1	0	0	2	0
AT5G64580.1	0	1	2	1	2	2
AT3G54900.1	5	4	2	2	4	4
AT3G14420.1	51.9	71.1	42.8	81.8	52.1	98
AT2G17265.1	1	0	0	1	0	0
AT4G12830.1	2	2	2	2	1	2
AT4G30920.1	4	4.8	4	2.1	8.6	7.8
AT3G04340.1	0	3	0	0	0	0
AT5G01650.1	0	2	1	1	2	1
AT4G25080.1	18	18	10	14	22	13
AT1G08520.1	28	27	30	29	32	55
AT5G13630.1	83	65	56	108	117	137
AT4G34830.1	1	2	1	4	8	7
AT3G53700.1	1	2	0	0	3	4
AT5G35100.1	2	0	0	1	0	2
AT3G26060.1	8	6	3	4	0	4
AT2G37690.1	0	0	0	0	2	2
AT5G43745.1	0	0	2	1	0	0
AT4G14210.1	0	0	0	0	1	4
AT3G59400.1	1	2	0	2	1	0
AT2G10940.1	18	19	12	14	13	24
AT5G04360.1	0	0	0	2	0	1
AT2G39670.1	0	0	0	0	1	1
AT4G24750.1	4	4	3	2	4	3
AT3G62910.1	0	0	0	0	1	1
AT3G15000.1	0	0	0	0	2	2
AT3G28460.1	0	0	0	0	1	2
AT3G04260.1	1	3	9	4	10	14
AT4G18240.1	0	0	1	0	3	2
AT3G06730.1	2	2	0	3	2	2
AT3G53560.1	0	0	0	0	2	3
AT5G54810.1	0	0	0	0	0	2
AT1G44920.1	0	0	0	0	3	3
AT1G48450.1	0	0	0	0	1	1
AT1G63610.1	0	0	0	1	3	3
AT1G67700.1	2	2	2	1	1	0
AT1G72640.1	2	3	6	1	1	2
AT2G21960.1	2	2	4	1	5	1
AT3G55250.1	2	2	0	0	4	3
AT1G54520.1	1	2	0	6	4	6
AT3G61870.1	7	5	1	4	5	5
AT3G01060.1	0	0	1	1	2	1
AT3G43520.1	0	0	0	2	0	1
AT4G27990.1	0	0	0	2	0	0
AT3G04870.1	0	0	0	2	0	1
AT5G58250.1	4	3	4	6	2	4
AT1G22410.1	1	4	0	3	0	5.7
AT5G56730.1	1	0	1	0	0	0
AT4G36390.1	1	2	0	2	2	4
AT3G13740.1	0	0	0	0	1	2
AT5G06220.1	0	0	0	0	0	2
AT3G50380.1	0	0	0	0	2	1
AT3G15110.1	0	0	0	0	1	2
AT5G02160.1	5	4	1	0	2	2
AT1G10830.1	2	3	2	0	2	0
AT5G18660.1	8	7	9	1	3	13
AT5G35170.1	5	8	10	5	8	6
AT4G01690.1	8	9	9	7	8	11
AT5G26742.2	31	22	12	67	84	117
AT4G09730.1	0	0	0	2	0	2
AT3G06980.1	0	0	0	0	0	4
AT3G16000.1	15	14	5	4	7	11
AT1G63680.1	1	0	0	0	1	4
AT1G74850.1	0	1	0	2	1	2
AT5G46580.1	6	5	4	11	11	17
AT5G04810.1	0	2	0	0	2	2
AT1G69200.1	0	0	0	1	1	2
AT2G34640.1	0	0	0	2	2	2
ATCG00190.1	2	5	12	4	9	12
ATCG00180.1	0	0	0	1	0	1
ATCG00170.1	30	14	17	31	32	40
AT2G19870.1	2	0	0	0	2	0
sum40	4	0	3	6	4	7
sum46	7	5	5	6	4	5
sum51	14	9	7	11	13	19
AT5G30510.1	24	17	14	20	20	33
ATCG00750.1	11	6	3	12	9	14
AT5G14320.1	4	5	5	4	3	7
ATCG00330.1	0	0	0	0	0	2
AT1G79850.1	0	0	0	1	0	1
ATCG00650.1	1	1	2	2	2	2
ATCG00820.1	4	2	0	2	2	2
ATCG00160.1	10	7	3	17	13	14
AT3G15190.1	4	5	5	3	3	4
ATCG00800.1	36	26	23	42	57	61
ATCG00380.1	14	14	9	12	21	20
AT2G33800.1	4	4	2	6	15	18
ATCG00770.1	7	6	5	13	17	12
AT1G74970.1	1	1	0	4	4	2
AT3G63490.1	15	16	10	15	21	18
AT5G13510.1	2	6	2	6	7	6
AT1G32990.1	9	8	5	7	6	13
AT1G78630.1	2	2	2	3	4	2
ATCG00780.1	9	5	8	7	6	8
AT3G25920.1	15	15	11	9	16	17
ATCG00790.1	2	2	2	3	2	2
AT3G54210.1	2	3	1	0	2	3
AT1G48350.1	3	2	2	2	2	1
AT4G17560.1	4	4	3	3	4	2
ATCG00660.1	3	3	2	4	3	6
AT1G35680.1	6	8	5	4	5	5
ATCG00810.1	1	0	2	2	3	6
AT5G54600.1	3	1	2	2	3	3
AT5G40950.1	2	3	1	2	4	5
AT5G65220.1	4	4	4	4	4	7
AT2G43030.1	20	11	15	22	29	38
AT1G75350.1	4	4	2	5	6	4
AT1G07320.1	15	14	15	14	18	19
AT4G01310.1	16	21	15	14	17	21
AT1G05190.1	13	13	18	16	12	16
AT3G44890.1	10	10	11	10	5	15
AT5G24490.1	3	5	3	4	2	8
AT3G52150.1	11	10	8	15	17	12
AT1G68590.1	0	1	0	1	1	3
AT4G29060.1	76	60	46	92	107	120
sum106	150.7	137.9	126.6	202.5	195.5	240.1
sum11	6	0	2	3	5	7
sum35	142.9	118.1	147	299.9	326.1	408
sum61	41	39	35	34	42	38
