Acc	wt-1	wt-2	wt-3	mut-1	mut-2	mut-3
AT2G17980.1	0	1	0	2	1	0
AT5G20280.1	11.5	10	5	7	7	6
AT4G10120.1	3.5	0	0	0	0	2
AT1G21700.1	2	1	0	0	0	2
AT5G06460.1	1.1	1	0	0	2	4
AT2G27860.1	3.5	3.5	0	2	3.5	3.5
AT4G11380.1	3	4.5	2.7	1	9	13
AT3G54440.1	3	2	0	2	4	1
AT5G64080.1	0	0	0	0	2	2
AT1G67730.1	4	2	4	0	1	6
AT5G07300.1	1	1	1	1	2	0
AT1G48090.1	18	2	2	2	3	5
AT2G02560.1	3	7	4	5	8	3
AT4G01610.1	0	0	0	0	0	2
AT1G05940.1	0	1	0	0	1	2
AT3G44340.1	4	2	3	1	0	0
AT5G05270.1	0	0	0	0	2	1
AT3G06400.1	0	2	1	1	1	2
AT2G02400.1	0	0	0	0	2	0
AT5G58490.1	0	0	0	0	2	0
AT1G35580.1	1	0	0	0	1	0
AT5G51660.1	0	0	0	0	0	2
AT1G79990.1	2.7	0	5	1.7	0	6.5
AT1G52360.1	4.7	1.5	0	1.7	7.5	8
AT3G15980.1	7.7	9.5	2	5.7	4.5	3.5
AT2G39940.1	0	0	2	1	1	0
AT5G51430.1	2	4	2	1	2	3
AT5G20650.1	6	0	1	3	4	9
AT2G15970.1	0	1	0	0	0	2
AT5G52310.1	7	3	0	0	1	2
AT3G22120.1	0	0	0	0	7	9
AT3G48750.1	2	3	0	0	2	2
AT2G07050.1	4	2	1	0	0	0
AT5G58710.1	0	0	0	1	0	3
AT1G13110.1	3	0	1	2	1	2
AT3G01120.1	0	0	2	1	1	4
AT5G38830.1	3	0	3	1	0	3
AT1G16410.1	1	2	0	0	0	0
AT4G05420.1	5	9	12	10	10	7
AT3G58510.1	3	0	3	0	0	0
AT3G61240.1	0	1	0	0	0	1
AT4G18030.1	0	0	0	0	0	3
AT1G04430.1	0	4	0	0	0	0
AT1G29470.1	8	8	2	1	5	4
AT3G11750.1	0	0	0	2	0	1
AT3G17770.1	2	2	0	0	1	0
AT4G04040.1	3	3.5	2	0	2	3
AT3G02720.1	2	1	1	1	2	3
AT1G12350.1	0	0	2	0	1	2
AT1G01960.1	4	4	1	2	1	2
AT1G18070.1	2	2	2	0	1	2
AT5G36230.1	0	0	1	0	0	1
AT5G01010.1	0	0	1	1	0	2
AT1G14670.1	0	2	0	4	0	2.5
AT2G01970.1	8	3	3	0	0	4.5
AT4G12650.1	5	0	4	1	2	4
AT5G35160.1	0	0	0	0	2	0
AT2G26740.1	3	2	1	5	4	4
AT1G31730.1	9	9	4	3	3	4
AT3G60240.2	2	2	0	1	0	2
AT2G40290.1	1	0	0	0	1	1
AT2G05830.1	0	0	0	0	1	2
AT1G10840.2	0	1	2	1	0	1
AT2G46280.1	2	1	0	0	0	2
AT1G04080.1	0	3	0	1	5	8
AT4G36400.1	0	0	0	0	1	2
AT5G06390.1	2	4	0	0	0	0
AT3G11700.1	2	0	4	2	0	3
AT5G03690.2	2.4	1.2	0	0	0	1.2
AT4G17330.1	0	0	0	2	0	0
AT1G23900.1	3.3	4	1	0	4	4
AT1G78680.1	1	2	1	0	1	0
AT3G27530.1	0	3	0	1	1	2
AT3G51160.1	0	0	0	0	0	2
AT3G05180.1	0	0	0	0	1	2
AT1G31910.1	0	0	2	0	2	1
AT5G13000.1	5	3	3	0	0	3
AT4G03550.1	17	6	4	8	7	9
AT2G36850.1	12.6	4.8	4.9	5.7	4.3	4.5
AT3G53180.1	2	4	0	0	0	1
AT5G26710.1	2	2	2	2	1	1
AT3G17820.1	2	2.4	1	1	1	2
AT3G43800.1	0	1	0	1	2	2
AT3G18080.1	5	3	2	2	0	1.5
AT5G36890.1	0	0	3	1	2	1.5
AT5G20950.1	3	0	0	0	0	3
AT5G49360.1	1	0	0	2	1	3
AT1G75680.1	2	2	0	1	0	0
AT1G06410.1	0	0	0	0	0	2
AT1G67930.1	2	2	0	0	0	2
AT5G46070.1	4	4	0	1	3	0
AT4G26630.1	4	0	0	0	2	0
AT3G43300.2	29	16	15	8	14	29
AT2G40730.1	2	0	0	0	0	2
AT1G79920.1	22.5	33	25.7	24	30	38
AT2G06990.1	0	0	0	2	1	0
AT3G02760.1	5	6	3	1	6	6
AT3G11945.1	11	6	6	6	4	9
AT3G50950.1	1	2	0	0	0	0
AT1G20050.1	0	0	0	0	1	2
AT1G15130.1	2	2	0	0	0	0
AT2G46520.1	5	3	2	5	4	5
AT4G27640.1	2	5	5	6	2	7
AT5G10170.1	0	0	2	1	1	0
AT4G10320.1	22	22	19	13	25	20
AT3G16410.1	0	0	0	0	0	2
AT2G26890.1	0	0	0	1	0	1
AT3G16470.1	3	5	2	2	4	4
AT4G03080.1	3	4	0	0	0	3
AT1G18270.1	6	1	5	2	3	6
AT2G25970.1	5	7	3	4	4	4
AT5G47010.1	0	0	2	0	0	0
AT5G49760.1	2	0	1	0	0	0
AT1G51805.1	7	7	2	0	1	2
AT3G02870.1	6	3	7	6	2	6
AT1G45201.1	2	3	6	5	4	5
AT1G28600.1	0	0	0	0	2	2
AT1G55020.1	0	1	2	1	3	2
AT4G24800.1	3	0	0	2	1	3
AT5G42770.1	0	1	0	0	1	2
AT4G37300.1	0	0	0	1	1	1
AT1G58270.1	0	0	0	0	0	3
AT1G06900.1	0	0	0	0	1	1
AT3G50440.1	2	2	0	0	2	2
AT1G67120.1	1	0	0	1	1	0
AT2G24050.1	1	3	2	0	1	0
AT3G63540.1	7	3	4	5	4	3
AT4G27680.1	0	1	2	2	0	2
AT1G30400.1	6	0	0	4	3	4
AT2G37540.1	0	2	0	0	1	0
AT2G29370.1	0	0	0	2.4	0	0
AT5G51970.1	3	5	4	2	2	4
AT1G79010.1	0	0	3	0	3	0
AT3G05900.1	12	8	2	0	1	4
AT1G37130.1	10	3	5	0	1	1
AT2G20610.1	0	2	0	1	0	4
AT4G36940.1	0	0	0	0	1	1
AT2G23420.1	0	0	3	1	3	5
AT2G03440.1	0	1	0	0	1	2
AT2G03820.1	2	2	0	0	0	0
AT3G61050.1	2	1	0	0	0	1
AT5G47210.1	4	3	2	1	1	4
AT5G60980.1	0	2	0	0	0	0
AT2G34160.1	0	1	0	1	0	0
AT4G12720.1	1	3	2	0	1	0
AT1G61790.1	1	4	0	0	0	1
AT1G25350.1	0	2	0	0	3	0
AT4G09670.1	0	2	1	2	1	3
AT4G21580.1	2	1	2	1	2	2
AT5G37830.1	18	11	14	5	16	12
AT2G37040.1	2	2	0	0	0	0
AT2G17340.1	1	0	3	0	1	5
AT4G38350.1	3	3	2	5	5	6
AT4G19410.1	3	0	1	1	2	0
AT1G53830.1	3	0	4	0	0	1
AT2G44490.1	2	0	2	0	1	1
AT3G13160.1	1	0	0	0	1	1
AT1G64430.1	0	1	0	0	0	1
AT1G52190.1	2	0	1	0	0	1
AT3G25230.1	2	2	0	0	0	2
