"","wt-1","wt-2","wt-3","mut-1","mut-2","mut-3"
"wt-1",1,0.991908978249799,0.977027253228073,0.962970917594016,0.961959993711636,0.961226825442526
"wt-2",0.991908978249799,1,0.969392732516727,0.959020001029678,0.956892049925096,0.956905971700798
"wt-3",0.977027253228073,0.969392732516727,1,0.93972614791157,0.939010912272018,0.93477219293219
"mut-1",0.962970917594016,0.959020001029678,0.93972614791157,1,0.990834480886583,0.98990710404329
"mut-2",0.961959993711636,0.956892049925096,0.939010912272018,0.990834480886583,1,0.989447827166322
"mut-3",0.961226825442526,0.956905971700798,0.93477219293219,0.98990710404329,0.989447827166322,1
