Name,STN,pVal
AT5G27540.1,0.7855,0.0521
AT3G50590.1,0.7855,0.0521
sum142,-0.7855,0.0525
AT5G46580.1,0.7827,0.0531
AT1G48850.1,0.7827,0.0531
AT4G26670.1,0.7827,0.0531
AT2G38550.1,-0.7827,0.0604
AT5G50250.1,-0.7827,0.0604
AT5G45620.1,-0.7827,0.0604
AT2G26670.1,-0.7827,0.0604
AT5G24400.1,-0.7827,0.0604
AT5G05000.1,-0.7827,0.0604
AT4G17340.1,-0.7827,0.0604
AT1G20810.1,-0.7827,0.0604
AT1G74560.1,-0.7827,0.0604
sum106,0.7809,0.0606
AT5G62720.1,0.7805,0.0608
AT2G43100.1,0.7756,0.0618
sum118,0.7714,0.0621
sum118,0.7714,0.0621
AT3G62410.1,0.7714,0.0621
AT4G11220.1,-0.7714,0.063
AT2G30110.1,0.7653,0.0637
AT3G01440.1,-0.7608,0.064
AT1G19670.1,-0.7567,0.0648
AT4G13850.1,-0.7567,0.0648
AT5G63890.1,0.7542,0.065
AT1G11430.1,-0.7542,0.0651
AT3G60860.1,0.7517,0.0654
AT5G23120.1,-0.7501,0.0655
AT3G60240.2,0.7494,0.0658
ATCG01110.1,-0.7474,0.0662
sum141,-0.7468,0.0662
AT1G23740.1,-0.7442,0.0666
AT1G79500.1,0.7437,0.0667
AT5G59890.1,0.7418,0.067
AT2G36580.1,-0.7413,0.067
AT1G70730.1,0.7386,0.0673
AT2G36390.1,0.7364,0.0675
AT2G05710.1,0.7324,0.068
AT5G44320.1,0.7302,0.0682
AT2G15620.1,0.7268,0.0685
AT4G39800.1,0.7259,0.0686
AT1G62180.1,0.7259,0.0686
AT3G52560.1,0.7259,0.0686
AT5G19440.1,-0.7259,0.0687
AT5G35590.1,-0.7217,0.0697
AT1G61520.1,0.7216,0.0697
AT5G60640.1,0.7214,0.0697
AT4G35830.1,0.7207,0.0701
AT1G09630.1,0.7196,0.0701
AT5G66190.1,-0.7178,0.0704
AT4G16760.1,0.7148,0.0709
AT2G02560.1,0.7148,0.0709
AT1G56500.1,-0.7131,0.0715
AT2G04030.1,0.7117,0.0718
AT5G65430.1,0.7118,0.0718
AT2G26080.1,0.7105,0.0719
AT4G12420.1,0.7092,0.0721
AT2G37270.1,-0.709,0.0721
AT1G57720.1,0.709,0.0722
sum35,0.7076,0.0723
