Accession,carpel,cauline leaf,cotyledon,dry seed stage,embryo sac egg cell,flower,fruit,fruit septum,fruit valve,leaf apex,leaf base,mature plant embryo stage,pedicel,petal,petiole,pollen,root,root differentiation zone,root tip,seed imbibition stage,seedling hypocotyl,sepal,shoot axis internode,shoot axis node,shoot system meristem,stamen,vascular leaf senescence stage
AT1G11390,0.8644688575740144,0.7451713789182213,0.8365946852444813,0.0,0.9814970916269857,0.8395561681242735,0.8252038093292472,0.7017141796575656,0.706653377914613,0.0,0.7890977174864572,0.741241737436581,0.7502290518989121,0.9502265755695257,0.7929203217009004,1.0,0.9319847416227195,0.8721137543851629,0.9740132957906454,0.7771214075569578,0.8859755342081698,0.8665709959316868,0.7121049270879228,0.0,0.7595329487303797,0.9853729402747019,0.8705500790274118
AT1G61640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8188631809738276,0.0,0.0,1.0,0.0,0.9068263343572799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G65950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G71810,0.7065809592411613,0.9616836666452545,0.9668687837655771,0.8364291029947428,0.0,0.7962120458627073,0.8096550326276006,0.9077658348224261,1.0,0.8819032098253824,0.9067682968952241,0.6967140984970198,0.8875417487722701,0.810732402238505,0.8685578905906107,0.0,0.0,0.0,0.0,0.8342301723777794,0.938349116168847,0.9446362818828442,0.8667638055965665,0.8023901956227283,0.9380624090624662,0.831453468618027,0.9877146745272687
AT1G79600,0.7247799252828621,0.9159474825908602,0.8927022602803234,0.7510550166280039,0.6766871198056126,0.837220570699447,0.8306472300146643,0.9265188354084566,0.997303475313921,0.8441567933008177,0.8676346557267981,0.7468971818838468,0.8362065361126898,0.8788899752292703,0.8194336447050168,0.0,0.620626804211219,0.44083801470986606,0.6549611936732821,0.7550199121110159,0.8573699321750395,1.0,0.8153397145659608,0.7945734224104489,0.8504434393577406,0.8745621489974433,0.9377745364741028
AT2G39190,0.9404673828202751,0.8201180689318748,0.8848380501098438,0.0,0.0,0.8357106276306541,0.961571646926287,0.0,0.0,0.9244479147333756,0.899092507589133,0.7021451692347954,0.919960268545266,0.7871214587680048,0.8986219823599246,0.0,0.0,0.0,0.0,0.0,0.9317620255118306,0.8227879384017552,0.6838520499243494,0.0,1.0,0.0,0.747370337466162
AT2G40090,0.9041200704622738,0.9586675786107559,0.8407268938622886,0.7748652026201153,0.9892090075884852,0.8728999113088165,0.8681002289723527,0.9353325569609476,0.9060082887746731,0.8755310094322065,0.8515290919928152,0.8603039744246874,0.8426075370455411,0.966498865286987,0.878763705017426,0.8987970808240957,0.8311302821644573,0.7065533216431742,0.9043270019529195,0.8347201729585914,0.8777072416392014,1.0,0.8511424542852554,0.8452767669846414,0.8875502807640513,0.9389566228454296,0.966446846582556
AT3G07700,0.697871389713,0.8474435396828093,0.7086281544973058,0.7726723399129853,0.4463582552287118,0.8321911402013509,0.7278439930516032,0.944610127247135,1.0,0.7508091474507693,0.6817118660495002,0.797357209409633,0.7876060424899909,0.8772902612408714,0.7438164378632818,0.0,0.0,0.0,0.0,0.8234389676242888,0.6900709872598516,0.939405504401934,0.7832124639205461,0.7553686063303247,0.712784796366806,0.8902144406193971,0.9162447516270377
AT3G24190,0.8375655285666375,0.8831008596653381,0.8981379263828158,0.5447030695668128,0.0,0.8408523757198926,0.8613476970032546,0.8090390188233965,0.7941448122991526,0.8893757611009365,0.8786792144801627,0.7523706731482007,0.8999503129439959,0.9024959188377755,0.8812656009621228,0.0,0.0,0.0,0.6854451726361925,0.0,0.9094727048771718,1.0,0.8054643346218234,0.7164593990090276,0.9172914351116781,0.8246189819883837,0.9349610291134628
AT4G01660,0.8667001168521828,0.747606792712348,0.6619241097928591,0.7264917893944033,0.8274258502449712,0.8784597832617221,0.8299255515624054,0.7813444187292874,0.8030857269293273,0.7126559184823106,0.7462289864291213,0.750999496441029,0.796210738473067,0.8984885680762494,0.7427445260536126,1.0,0.8592973165665021,0.9493913778179044,0.898162260237254,0.7525849093779626,0.8456912002614171,0.822159083392971,0.7608347802486062,0.7695079169538297,0.7555433301699289,0.9337349349390304,0.7915363853098186
