protein_id,STN,pVal
AT3G24190.1,0.8817,0.138
AT1G71810.1,-0.0151,0.6148
AT4G31390.1,-1.0247,0.0951
AT3G10130.1,-2.1197,0.0212
AT3G27110.1,-0.1531,0.5149
AT5G08740.1,-0.1697,0.5108
AT2G34460.1,-0.8496,0.1459
AT2G46910.1,-1.2083,0.0704
AT1G78140.1,1.1243,0.0924
AT1G54570.1,0.5073,0.271
AT1G06690.1,0.4978,0.2789
AT5G41120.1,-0.5246,0.2666
AT1G28150.1,0.462,0.3084
AT3G26840.1,0.4481,0.3084
AT1G79600.1,-0.7377,0.1793
AT3G07700.1,1.7894,0.0255
AT2G42130.3,-0.5081,0.2708
AT4G38970.1,0.2449,0.4369
AT3G43540.1,0.8222,0.1597
AT2G35490.1,0.7328,0.1805
AT3G58010.1,-1.8388,0.0256
AT4G13200.1,1.0849,0.0924
AT4G22240.1,0.0086,0.6164
AT4G04020.1,0.1413,0.5175
AT3G23400.1,-0.0294,0.5984
AT2G41040.1,0.1392,0.5175
AT4G32770.1,0.6449,0.2135
AT1G32220.1,-0.23,0.4365
AT5G05200.1,-0.121,0.5191
AT4G19170.1,-0.2905,0.42
