protein_id,wt_1,wt_2,k6_1,k6_2
AT3G24190.1,0.0,0.001067236,0.0,0.0
AT1G71810.1,0.014402304,0.020277481,0.014858841,0.019692423
AT4G31390.1,0.061609858,0.041622199,0.045402014,0.036571643
AT3G10130.1,0.025604097,0.03094984,0.017335315,0.017816954
AT3G27110.1,0.003200512,0.009605123,0.003301965,0.00843961
AT5G08740.1,0.052008321,0.036286019,0.042925541,0.04219805
AT2G34460.1,0.018402944,0.022411953,0.009905894,0.023443361
AT2G46910.1,0.014402304,0.013874066,0.010731385,0.00843961
AT1G78140.1,0.012802048,0.009605123,0.012382368,0.018754689
AT1G54570.1,0.028804609,0.022411953,0.029717682,0.027194299
AT1G06690.1,0.00800128,0.004268943,0.008254912,0.007501875
AT5G41120.1,0.00400064,0.007470651,0.004127456,0.003750938
AT1G28150.1,0.0,0.002134472,0.001650982,0.002813203
AT3G26840.1,0.008801408,0.014941302,0.01403335,0.013128282
AT1G79600.1,0.034405505,0.035218783,0.028892191,0.030945236
AT3G07700.1,0.000800128,0.001067236,0.007429421,0.003750938
AT2G42130.3,0.021603457,0.021344717,0.028892191,0.009377344
AT4G38970.1,0.128660586,0.081109925,0.114247978,0.129782446
AT3G43540.1,0.003200512,0.005336179,0.005778438,0.00843961
AT2G35490.1,0.064010242,0.025613661,0.068515767,0.037509377
AT3G58010.1,0.020803329,0.020277481,0.018986297,0.006564141
AT4G13200.1,0.019203072,0.033084312,0.028892191,0.036571643
AT4G22240.1,0.096015362,0.080256137,0.09154697,0.085333833
AT4G04020.1,0.083213314,0.097972252,0.100792472,0.091897974
AT3G23400.1,0.095215234,0.165421558,0.119696219,0.135033758
AT2G41040.1,0.023203713,0.021344717,0.01403335,0.031882971
AT4G32770.1,0.021603457,0.023479189,0.026415717,0.02531883
AT1G32220.1,0.022403585,0.011739594,0.018160806,0.014066017
AT5G05200.1,0.050408065,0.071504803,0.055307908,0.062828207
AT4G19170.1,0.060009602,0.068303095,0.057784382,0.060952738
