Name,STN,pVal
AT3G11830.1,0.8133,0.0478
AT4G24830.1,0.8133,0.0478
AT1G33590.1,-0.814,0.0478
AT3G63160.1,-0.814,0.0478
AT5G67560.1,-0.8109,0.0482
AT4G36810.1,-0.8095,0.0484
AT3G54640.1,-0.8073,0.0486
AT5G42390.1,-0.805,0.0488
AT1G79210.1,0.7973,0.0498
AT1G23190.1,0.796,0.0499
AT3G26060.1,0.7949,0.05
AT4G28080.1,0.7941,0.05
AT1G08110.1,-0.7895,0.0505
AT5G02240.1,-0.7877,0.0506
AT2G45740.1,0.7871,0.0506
AT3G09820.1,-0.7866,0.0508
AT3G53420.1,0.7851,0.0508
AT1G67280.1,-0.7808,0.0513
sum16,0.7801,0.0514
AT1G19670.1,-0.7803,0.0515
sum67,-0.7803,0.0515
AT3G28715.1,-0.7801,0.0515
AT4G25370.1,-0.7784,0.0517
AT2G47470.1,-0.7784,0.0517
AT3G46780.1,0.778,0.0518
AT3G29360.1,0.769,0.0526
sum125,0.7687,0.0526
AT2G36460.1,-0.7681,0.0527
AT3G55330.1,0.7663,0.0529
AT3G14210.1,-0.7653,0.0531
AT2G41530.1,-0.7618,0.0536
AT2G16950.1,0.7596,0.0537
AT5G55710.1,0.7596,0.0537
AT4G00490.1,0.7588,0.0551
AT3G25230.1,0.7588,0.0551
AT1G37130.1,0.7588,0.0551
AT4G36130.1,0.7588,0.0551
AT3G62700.1,0.7588,0.0551
AT4G03080.1,0.7588,0.0551
AT1G54520.1,0.7588,0.0551
AT2G46280.1,-0.7588,0.0626
AT5G48880.1,-0.7588,0.0626
AT2G40600.1,-0.7588,0.0626
AT4G13360.1,-0.7588,0.0626
AT5G24400.1,-0.7588,0.0626
AT3G51160.1,-0.7588,0.0626
AT5G56260.1,-0.7588,0.0626
AT2G25280.1,-0.7588,0.0626
AT3G01290.1,-0.7588,0.0626
AT3G03890.1,-0.7588,0.0626
AT4G28780.1,-0.7588,0.0626
AT3G15690.2,-0.7588,0.0626
AT3G04720.1,-0.7588,0.0626
AT4G14160.1,-0.7588,0.0626
AT3G17940.1,-0.7588,0.0626
AT3G43300.2,0.7574,0.0629
AT3G56150.1,0.7541,0.0631
AT2G37270.1,-0.7548,0.0632
AT1G04420.1,-0.7546,0.0632
AT1G03860.1,-0.7525,0.0634
AT5G23120.1,-0.7488,0.0637
AT5G37850.1,-0.7468,0.064
AT3G27280.1,-0.7463,0.064
AT4G17300.1,0.7425,0.0643
AT5G27540.1,0.7425,0.0643
sum103,-0.7425,0.0648
AT4G25080.1,-0.742,0.0648
AT5G13650.1,0.7404,0.065
AT2G42220.1,0.74,0.065
AT1G64510.1,-0.74,0.0652
AT1G17290.1,0.7375,0.0653
AT5G11450.1,-0.7375,0.0658
AT3G08030.1,-0.7375,0.0658
AT5G48230.1,-0.7375,0.0658
AT2G36060.1,0.7369,0.0658
AT1G04430.1,0.7351,0.066
AT5G08060.1,0.7351,0.066
AT1G06400.1,-0.736,0.066
AT1G53280.1,-0.7351,0.0672
AT2G26590.1,-0.7351,0.0672
AT5G58710.1,-0.7351,0.0672
AT4G11010.1,0.7343,0.0672
AT2G22125.1,0.7342,0.0675
AT3G02780.1,-0.7328,0.0676
AT1G14345.1,0.7306,0.0678
AT4G04020.1,-0.7309,0.0678
AT3G19450.1,-0.7306,0.068
AT2G25450.1,-0.7306,0.0684
AT1G30360.1,0.7286,0.0684
sum208,-0.7261,0.0687
sum64,0.7217,0.069
AT4G19410.1,-0.7202,0.0692
sum213,0.7164,0.0697
ATCG00340.1,0.7139,0.0699
AT5G15650.1,-0.7135,0.07
AT5G58260.1,0.7114,0.0703
AT5G13630.1,0.7112,0.0704
AT3G08920.1,0.7104,0.0705
AT2G46910.1,-0.7104,0.0709
AT2G15620.1,0.7086,0.071
AT1G68010.1,-0.7082,0.0711
sum42,0.7056,0.0713
AT5G63890.1,0.7056,0.0713
AT3G55800.1,-0.7052,0.0716
AT2G30050.1,-0.704,0.0717
AT3G17020.1,0.7012,0.0721
ATCG00170.1,0.7012,0.0721
AT4G35100.1,0.7009,0.0724
AT5G08300.1,-0.6969,0.0729
sum37,0.6938,0.0732
AT2G41220.1,-0.6928,0.0734
AT1G22300.1,-0.692,0.0735
AT3G01280.1,-0.6873,0.0741
AT4G18100.1,0.6864,0.0742
AT3G12390.1,-0.6851,0.0743
AT1G76080.1,-0.6844,0.0743
AT5G09810.1,-0.6835,0.0744
AT5G24710.1,0.6835,0.0744
AT2G37500.1,-0.6835,0.0748
AT1G51110.1,-0.6827,0.075
AT3G16140.1,0.6825,0.075
AT3G53460.1,-0.6782,0.0756
AT1G52510.1,-0.6781,0.0756
sum211,-0.6749,0.0763
sum204,0.6743,0.0763
AT1G62750.1,0.6706,0.077
sum18,0.6702,0.077
AT2G02560.1,0.6702,0.077
AT5G23310.1,-0.6702,0.0776
AT5G26830.1,0.6678,0.0781
AT3G53900.1,-0.6678,0.0782
AT3G58730.1,-0.6678,0.0782
AT2G43090.1,0.6675,0.0783
AT5G26742.1,0.6645,0.0787
AT4G35450.1,-0.6618,0.0789
ATCG01060.1,0.6583,0.0793
AT4G34700.1,0.6583,0.0793
AT3G53110.1,0.6583,0.0793
AT5G52970.1,0.6583,0.0793
AT2G24060.1,-0.6583,0.0815
AT1G30380.1,-0.6583,0.0815
AT3G10850.1,-0.6583,0.0815
sum127,-0.6568,0.0816
AT5G67500.1,-0.6525,0.0824
AT1G03160.1,0.6512,0.0827
AT1G14410.1,-0.6512,0.083
AT4G04770.1,0.6467,0.0837
AT5G26667.1,0.6467,0.0837
AT4G14420.1,0.6467,0.0837
AT1G42550.1,0.6467,0.0837
AT1G67350.1,0.6467,0.0837
AT4G10060.1,0.6467,0.0837
AT1G06900.1,0.6467,0.0837
AT1G02475.1,0.6467,0.0837
AT1G64980.1,0.6467,0.0837
AT1G02140.1,0.6467,0.0837
AT3G44110.1,0.6467,0.0837
AT3G18600.1,0.6467,0.0837
AT3G02260.1,0.6467,0.0837
AT4G17830.1,-0.6467,0.0875
AT5G05000.1,-0.6467,0.0875
AT1G26340.1,-0.6467,0.0875
AT1G13270.1,-0.6467,0.0875
AT3G26900.1,-0.6467,0.0875
AT2G05830.1,-0.6467,0.0875
AT1G28290.1,-0.6467,0.0875
AT1G27390.1,-0.6467,0.0875
AT1G07440.1,-0.6467,0.0875
AT1G17890.1,-0.6467,0.0875
sum47,-0.6467,0.0875
AT3G18490.1,-0.6467,0.0875
AT4G32150.1,-0.6467,0.0875
AT1G79690.1,-0.6467,0.0875
AT3G52180.1,-0.6467,0.0875
AT3G04780.1,-0.6467,0.0875
AT1G18640.2,-0.6467,0.0875
AT4G19006.1,-0.6467,0.0875
AT3G27380.1,-0.6467,0.0875
AT1G23740.1,-0.6454,0.0876
ATCG00130.1,0.6458,0.0877
AT1G03475.1,-0.6434,0.0878
AT2G38040.1,-0.6433,0.0879
AT3G48000.1,0.6425,0.088
AT5G62720.1,0.6421,0.0881
AT4G02520.1,-0.6401,0.0887
AT3G42050.1,0.6398,0.089
AT3G54660.1,0.6398,0.089
AT3G11700.1,0.6398,0.089
AT1G79870.1,-0.6398,0.0898
AT4G30720.1,-0.6398,0.0898
AT4G30810.1,-0.6398,0.0898
AT1G72610.1,-0.6398,0.0898
AT5G48220.1,-0.6398,0.0898
AT1G66430.1,-0.6388,0.09
AT1G30580.1,0.6388,0.0901
AT5G16660.1,0.6375,0.0903
AT5G04740.1,-0.6375,0.0907
AT2G34470.1,-0.6375,0.0907
AT5G57490.1,-0.6375,0.0907
AT1G21880.2,-0.6375,0.0907
AT5G06060.1,-0.6361,0.0915
AT4G24190.1,-0.6353,0.0916
AT5G30510.1,-0.6329,0.0918
AT3G55040.1,-0.6328,0.0918
AT1G31330.1,0.6337,0.0919
AT1G13280.1,-0.6313,0.092
AT2G17340.1,-0.63,0.0921
AT5G01530.1,0.6306,0.0922
AT2G35490.1,-0.6297,0.0924
AT3G52750.1,-0.6267,0.0927
AT1G70890.1,-0.6246,0.0933
AT5G19940.1,-0.6243,0.0934
AT4G37980.1,-0.6243,0.0934
AT2G29450.1,-0.6238,0.0935
AT5G15450.1,-0.6224,0.0939
AT3G28900.1,0.623,0.0939
AT1G74260.1,-0.619,0.0942
AT5G35170.1,0.6175,0.0946
AT1G06950.1,-0.6166,0.0947
AT2G40490.1,-0.6143,0.0951
AT4G34050.1,-0.6128,0.0954
AT3G58610.1,0.6128,0.0955
AT3G22230.1,0.6099,0.0962
sum84,0.6036,0.0978
AT2G46520.1,0.6036,0.0978
AT5G19440.1,-0.6036,0.0989
AT3G17840.1,-0.6036,0.0989
AT2G25830.1,-0.6036,0.0989
sum8,-0.6036,0.0989
AT4G32260.1,0.6033,0.0991
AT1G74040.1,0.6013,0.0995
AT4G27500.1,0.6001,0.0997
AT3G63140.1,-0.5978,0.101
AT3G48420.1,-0.5951,0.1015
AT3G52880.1,-0.593,0.1017
AT3G45140.1,-0.5927,0.1018
AT1G29660.1,-0.5925,0.102
AT3G22630.1,-0.5896,0.1027
AT3G51260.1,-0.5884,0.1029
AT3G15730.1,-0.5883,0.103
AT3G07160.1,0.5865,0.1036
AT4G27440.1,-0.5842,0.1036
AT5G47110.1,-0.5828,0.1037
AT1G65960.2,0.5821,0.1041
AT4G16143.1,0.5811,0.1047
AT5G10470.1,0.5811,0.1047
AT3G02230.1,-0.5778,0.1053
AT5G55220.1,0.5759,0.1059
AT3G18420.1,-0.5752,0.1063
AT2G45790.1,-0.5752,0.1063
AT5G19510.1,-0.5738,0.1067
AT5G20290.1,-0.5703,0.1071
ATCG00120.1,0.5721,0.1071
AT4G34670.1,0.5716,0.1072
AT1G52360.1,0.5716,0.1072
AT5G42270.1,0.5698,0.1075
AT1G50900.1,0.5691,0.1076
AT5G13420.1,-0.5691,0.1083
AT1G59990.1,-0.5691,0.1083
AT3G57290.1,0.5687,0.1086
AT4G25450.1,0.5687,0.1086
AT5G47770.1,-0.5687,0.1092
AT3G01480.1,-0.5682,0.1092
AT2G04030.1,-0.5669,0.1094
AT5G03300.1,-0.5657,0.1095
sum206,0.5682,0.1095
AT5G45390.1,-0.5639,0.1099
AT5G46430.1,0.5616,0.1104
ATCG00180.1,0.5613,0.1105
AT3G55360.1,0.5613,0.1105
AT3G44620.1,-0.5613,0.1109
AT1G12230.1,-0.5613,0.1109
AT4G12060.1,-0.5609,0.111
AT2G21250.1,-0.5608,0.111
