Protein	Length	0	0	0	1	1	1
ALB	1	2902	2749	2407	1603	1487	1499
MYH8	1	718	752	724	2	1	1
MYH11	1	627	583	490	94	98	90
KRT8	1	284	312	272	541	663	380
FN1	1	179	151	169	600	527	472
LTF	1	187	134	150	20	20	18
KRT19	1	149	152	120	468	487	438
TUBA1C	1	137	128	143	221	220	156
KRT5	1	111	110	101	83	93	76
KRT9	1	103	94	92	108	118	104
